	364528_156-LP3-16S-0732	364528_188-LP3-16S-0764	364528_189-LP3-16S-0765	364528_369-LP3-16S-0945	364528_370-LP3-16S-0946	364528_371-LP3-16S-0947	364528_376-LP3-16S-0952
364528_156-LP3-16S-0732	0.0	0.7527299648343513	0.7829302987197724	0.7984773151025482	0.827533407572383	0.8590342679127726	0.8386721991701245
364528_188-LP3-16S-0764	0.7527299648343513	0.0	0.7544662309368192	0.7528032619775739	0.7970702283498492	0.7669048927982408	0.6766390833863781
364528_189-LP3-16S-0765	0.7829302987197724	0.7544662309368192	0.0	0.7123944742900997	0.7775024777006938	0.781793583301121	0.6985406229579613
364528_369-LP3-16S-0945	0.7984773151025482	0.7528032619775739	0.7123944742900997	0.0	0.7569916855631141	0.7172284644194756	0.7260138476755688
364528_370-LP3-16S-0946	0.827533407572383	0.7970702283498492	0.7775024777006938	0.7569916855631141	0.0	0.6952844153097907	0.7596602972399151
364528_371-LP3-16S-0947	0.8590342679127726	0.7669048927982408	0.781793583301121	0.7172284644194756	0.6952844153097907	0.0	0.7496046389035319
364528_376-LP3-16S-0952	0.8386721991701245	0.6766390833863781	0.6985406229579613	0.7260138476755688	0.7596602972399151	0.7496046389035319	0.0
