	364528_550-LP3-16S-1126	364528_559-LP3-16S-1135	364528_562-LP3-16S-1138	364528_565-LP3-16S-1141	364528_566-LP3-16S-1142	364528_568-LP3-16S-1144	364528_570-LP3-16S-1146	364528_572-LP3-16S-1148	364528_574-LP3-16S-1150
364528_550-LP3-16S-1126	0.0	0.8351976137211037	0.06751054852320675	0.7883141762452107	0.7251243781094527	0.7111111111111111	0.9549622987568779	0.0	0.6371100164203612
364528_559-LP3-16S-1135	0.8351976137211037	0.0	0.8371407516580692	0.7198067632850241	0.659375	0.7213114754098361	0.8448881493806618	0.8351976137211037	0.761118170266836
364528_562-LP3-16S-1138	0.06751054852320675	0.8371407516580692	0.0	0.7915094339622641	0.7304878048780488	0.7170294494238156	0.9551086735730245	0.06751054852320675	0.6464
364528_565-LP3-16S-1141	0.7883141762452107	0.7198067632850241	0.7915094339622641	0.0	0.6958362738179252	0.8351577591757888	0.8632282712511938	0.7883141762452107	0.8383696416022488
364528_566-LP3-16S-1142	0.7251243781094527	0.659375	0.7304878048780488	0.6958362738179252	0.0	0.6427335640138409	0.8399349989843591	0.7251243781094527	0.6106194690265486
364528_568-LP3-16S-1144	0.7111111111111111	0.7213114754098361	0.7170294494238156	0.8351577591757888	0.6427335640138409	0.0	0.9092307692307692	0.7111111111111111	0.4261168384879725
364528_570-LP3-16S-1146	0.9549622987568779	0.8448881493806618	0.9551086735730245	0.8632282712511938	0.8399349989843591	0.9092307692307692	0.0	0.9549622987568779	0.9209702660406885
364528_572-LP3-16S-1148	0.0	0.8351976137211037	0.06751054852320675	0.7883141762452107	0.7251243781094527	0.7111111111111111	0.9549622987568779	0.0	0.6371100164203612
364528_574-LP3-16S-1150	0.6371100164203612	0.761118170266836	0.6464	0.8383696416022488	0.6106194690265486	0.4261168384879725	0.9209702660406885	0.6371100164203612	0.0
