	364528_164-LP3-16S-0740	364528_172-LP3-16S-0748	364528_180-LP3-16S-0756	364528_192-LP3-16S-0768	364528_373-LP3-16S-0949	364528_375-LP3-16S-0951
364528_164-LP3-16S-0740	0.0	0.8735710629585395	0.7815173345339937	0.8669322709163346	0.7318982387475538	0.7749026154702282
364528_172-LP3-16S-0748	0.8735710629585395	0.0	0.9052494952408422	0.6847641669494401	0.8312312312312312	0.7252345001143903
364528_180-LP3-16S-0756	0.7815173345339937	0.9052494952408422	0.0	0.8796514040669525	0.8184380504991192	0.8291895768587139
364528_192-LP3-16S-0768	0.8669322709163346	0.6847641669494401	0.8796514040669525	0.0	0.8413364980828921	0.6675432829278983
364528_373-LP3-16S-0949	0.7318982387475538	0.8312312312312312	0.8184380504991192	0.8413364980828921	0.0	0.7489110143123833
364528_375-LP3-16S-0951	0.7749026154702282	0.7252345001143903	0.8291895768587139	0.6675432829278983	0.7489110143123833	0.0
