	364527_567-LP3-16S-0567	364527_570-LP3-16S-0570	364527_571-LP3-16S-0571	364527_572-LP3-16S-0572	364528_348-LP3-16S-0924	364528_355-LP3-16S-0931	364528_360-LP3-16S-0936
364527_567-LP3-16S-0567	0.0	0.4	0.15333333333333332	0.08	0.4	0.06	0.12
364527_570-LP3-16S-0570	0.4	0.0	0.25333333333333335	0.4066666666666667	0.48	0.4066666666666667	0.29333333333333333
364527_571-LP3-16S-0571	0.15333333333333332	0.25333333333333335	0.0	0.15333333333333332	0.46	0.15333333333333332	0.06
364527_572-LP3-16S-0572	0.08	0.4066666666666667	0.15333333333333332	0.0	0.46	0.08	0.12
364528_348-LP3-16S-0924	0.4	0.48	0.46	0.46	0.0	0.4	0.48
364528_355-LP3-16S-0931	0.06	0.4066666666666667	0.15333333333333332	0.08	0.4	0.0	0.12
364528_360-LP3-16S-0936	0.12	0.29333333333333333	0.06	0.12	0.48	0.12	0.0
