	364527_568-LP3-16S-0568	364528_346-LP3-16S-0922	364528_351-LP3-16S-0927	364528_352-LP3-16S-0928	364528_356-LP3-16S-0932	364528_362-LP3-16S-0938
364527_568-LP3-16S-0568	0.0	0.6933333333333334	0.7733333333333333	0.5866666666666667	0.68	0.9066666666666666
364528_346-LP3-16S-0922	0.6933333333333334	0.0	0.82	0.9133333333333333	0.5266666666666666	0.8066666666666666
364528_351-LP3-16S-0927	0.7733333333333333	0.82	0.0	0.6066666666666667	0.82	0.4066666666666667
364528_352-LP3-16S-0928	0.5866666666666667	0.9133333333333333	0.6066666666666667	0.0	0.9133333333333333	0.46
364528_356-LP3-16S-0932	0.68	0.5266666666666666	0.82	0.9133333333333333	0.0	0.9066666666666666
364528_362-LP3-16S-0938	0.9066666666666666	0.8066666666666666	0.4066666666666667	0.46	0.9066666666666666	0.0
