	364528_164-LP3-16S-0740	364528_172-LP3-16S-0748	364528_180-LP3-16S-0756	364528_192-LP3-16S-0768	364528_373-LP3-16S-0949	364528_375-LP3-16S-0951
364528_164-LP3-16S-0740	0.0	0.9466666666666667	0.74	0.9533333333333334	0.6933333333333334	0.9333333333333333
364528_172-LP3-16S-0748	0.9466666666666667	0.0	0.9666666666666667	0.16	0.94	0.7266666666666667
364528_180-LP3-16S-0756	0.74	0.9666666666666667	0.0	0.9533333333333334	0.6666666666666666	0.92
364528_192-LP3-16S-0768	0.9533333333333334	0.16	0.9533333333333334	0.0	0.9533333333333334	0.7
364528_373-LP3-16S-0949	0.6933333333333334	0.94	0.6666666666666666	0.9533333333333334	0.0	0.8133333333333334
364528_375-LP3-16S-0951	0.9333333333333333	0.7266666666666667	0.92	0.7	0.8133333333333334	0.0
