	364527_568-LP3-16S-0568	364528_346-LP3-16S-0922	364528_351-LP3-16S-0927	364528_352-LP3-16S-0928	364528_356-LP3-16S-0932	364528_362-LP3-16S-0938
364527_568-LP3-16S-0568	0.0	0.7576495132127955	0.5592034445640474	0.770392749244713	0.5607356715141146	0.7896825396825397
364528_346-LP3-16S-0922	0.7576495132127955	0.0	0.7779193205944799	0.8086767895878525	0.7363571934798016	0.7578413284132841
364528_351-LP3-16S-0927	0.5592034445640474	0.7779193205944799	0.0	0.7974882260596546	0.4991568296795953	0.8052155401809473
364528_352-LP3-16S-0928	0.770392749244713	0.8086767895878525	0.7974882260596546	0.0	0.670022652907123	0.7783319002579535
364528_356-LP3-16S-0932	0.5607356715141146	0.7363571934798016	0.4991568296795953	0.670022652907123	0.0	0.7585710860704867
364528_362-LP3-16S-0938	0.7896825396825397	0.7578413284132841	0.8052155401809473	0.7783319002579535	0.7585710860704867	0.0
