	364527_569-LP3-16S-0569	364527_573-LP3-16S-0573	364527_575-LP3-16S-0575	364528_345-LP3-16S-0921	364528_349-LP3-16S-0925	364528_361-LP3-16S-0937
364527_569-LP3-16S-0569	0.0	0.39778861788617886	0.6005528455284553	0.9541463414634146	0.9460487804878048	0.8499512195121951
364527_573-LP3-16S-0573	0.39778861788617886	0.0	0.4337235772357724	0.9246829268292683	0.908260162601626	0.8126829268292682
364527_575-LP3-16S-0575	0.6005528455284553	0.4337235772357724	0.0	0.9180162601626016	0.915609756097561	0.8233170731707317
364528_345-LP3-16S-0921	0.9541463414634146	0.9246829268292683	0.9180162601626016	0.0	0.3922926829268293	0.3375609756097561
364528_349-LP3-16S-0925	0.9460487804878048	0.908260162601626	0.915609756097561	0.3922926829268293	0.0	0.34536585365853656
364528_361-LP3-16S-0937	0.8499512195121951	0.8126829268292682	0.8233170731707317	0.3375609756097561	0.34536585365853656	0.0
