	364527_568-LP3-16S-0568	364528_346-LP3-16S-0922	364528_351-LP3-16S-0927	364528_352-LP3-16S-0928	364528_356-LP3-16S-0932	364528_362-LP3-16S-0938
364527_568-LP3-16S-0568	0.0	0.532130081300813	0.7851382113821138	0.5815934959349593	0.1509918699186992	0.9006829268292683
364528_346-LP3-16S-0922	0.532130081300813	0.0	0.8281951219512195	0.5157723577235772	0.45086178861788617	0.6852032520325203
364528_351-LP3-16S-0927	0.7851382113821138	0.8281951219512195	0.0	0.4932682926829268	0.8124552845528455	0.41121951219512193
364528_352-LP3-16S-0928	0.5815934959349593	0.5157723577235772	0.4932682926829268	0.0	0.5578211382113821	0.464130081300813
364528_356-LP3-16S-0932	0.1509918699186992	0.45086178861788617	0.8124552845528455	0.5578211382113821	0.0	0.8453333333333334
364528_362-LP3-16S-0938	0.9006829268292683	0.6852032520325203	0.41121951219512193	0.464130081300813	0.8453333333333334	0.0
