	364528_156-LP3-16S-0732	364528_188-LP3-16S-0764	364528_189-LP3-16S-0765	364528_369-LP3-16S-0945	364528_370-LP3-16S-0946	364528_371-LP3-16S-0947	364528_376-LP3-16S-0952
364528_156-LP3-16S-0732	0.0	0.744	0.54930081300813	0.7199024390243902	0.7043577235772358	0.755219512195122	0.6468617886178861
364528_188-LP3-16S-0764	0.744	0.0	0.6077723577235772	0.19739837398373983	0.2634471544715447	0.32546341463414635	0.3058211382113821
364528_189-LP3-16S-0765	0.54930081300813	0.6077723577235772	0.0	0.5443902439024391	0.5539512195121952	0.5909268292682927	0.42016260162601626
364528_369-LP3-16S-0945	0.7199024390243902	0.19739837398373983	0.5443902439024391	0.0	0.16452032520325202	0.26891056910569106	0.2647479674796748
364528_370-LP3-16S-0946	0.7043577235772358	0.2634471544715447	0.5539512195121952	0.16452032520325202	0.0	0.24406504065040652	0.2754471544715447
364528_371-LP3-16S-0947	0.755219512195122	0.32546341463414635	0.5909268292682927	0.26891056910569106	0.24406504065040652	0.0	0.3059512195121951
364528_376-LP3-16S-0952	0.6468617886178861	0.3058211382113821	0.42016260162601626	0.2647479674796748	0.2754471544715447	0.3059512195121951	0.0
