	364527_567-LP3-16S-0567	364527_570-LP3-16S-0570	364527_571-LP3-16S-0571	364527_572-LP3-16S-0572	364528_348-LP3-16S-0924	364528_355-LP3-16S-0931	364528_360-LP3-16S-0936
364527_567-LP3-16S-0567	0.0	0.8666666666666667	0.6	0.6	0.75	0.7142857142857143	0.8333333333333334
364527_570-LP3-16S-0570	0.8666666666666667	0.0	0.8571428571428571	0.9333333333333333	0.9565217391304348	0.9411764705882353	0.8571428571428571
364527_571-LP3-16S-0571	0.6	0.8571428571428571	0.0	0.5	0.8333333333333334	0.6666666666666666	0.5
364527_572-LP3-16S-0572	0.6	0.9333333333333333	0.5	0.0	0.8333333333333334	0.6666666666666666	0.8
364528_348-LP3-16S-0924	0.75	0.9565217391304348	0.8333333333333334	0.8333333333333334	0.0	0.7692307692307693	0.9230769230769231
364528_355-LP3-16S-0931	0.7142857142857143	0.9411764705882353	0.6666666666666666	0.6666666666666666	0.7692307692307693	0.0	0.8571428571428571
364528_360-LP3-16S-0936	0.8333333333333334	0.8571428571428571	0.5	0.8	0.9230769230769231	0.8571428571428571	0.0
