	364528_550-LP3-16S-1126	364528_559-LP3-16S-1135	364528_562-LP3-16S-1138	364528_565-LP3-16S-1141	364528_566-LP3-16S-1142	364528_568-LP3-16S-1144	364528_570-LP3-16S-1146	364528_572-LP3-16S-1148	364528_574-LP3-16S-1150
364528_550-LP3-16S-1126	0.0	0.06708943089430894	0.019252032520325202	0.05804878048780488	0.033398373983739835	0.043317073170731704	0.6462113821138211	0.013528455284552845	0.04591869918699187
364528_559-LP3-16S-1135	0.06708943089430894	0.0	0.061365853658536584	0.0368780487804878	0.046276422764227644	0.05040650406504065	0.6105365853658536	0.05694308943089431	0.0488130081300813
364528_562-LP3-16S-1138	0.019252032520325202	0.061365853658536584	0.0	0.04816260162601626	0.02351219512195122	0.03186991869918699	0.6529756097560976	0.005723577235772358	0.03577235772357724
364528_565-LP3-16S-1141	0.05804878048780488	0.0368780487804878	0.04816260162601626	0.0	0.038699186991869916	0.044292682926829266	0.6156747967479674	0.045560975609756096	0.04539837398373984
364528_566-LP3-16S-1142	0.033398373983739835	0.046276422764227644	0.02351219512195122	0.038699186991869916	0.0	0.024975609756097562	0.6299837398373984	0.019869918699186993	0.026048780487804877
364528_568-LP3-16S-1144	0.043317073170731704	0.05040650406504065	0.03186991869918699	0.044292682926829266	0.024975609756097562	0.0	0.6408455284552845	0.029788617886178863	0.023707317073170732
364528_570-LP3-16S-1146	0.6462113821138211	0.6105365853658536	0.6529756097560976	0.6156747967479674	0.6299837398373984	0.6408455284552845	0.0	0.6477723577235772	0.6284552845528455
364528_572-LP3-16S-1148	0.013528455284552845	0.05694308943089431	0.005723577235772358	0.045560975609756096	0.019869918699186993	0.029788617886178863	0.6477723577235772	0.0	0.03265040650406504
364528_574-LP3-16S-1150	0.04591869918699187	0.0488130081300813	0.03577235772357724	0.04539837398373984	0.026048780487804877	0.023707317073170732	0.6284552845528455	0.03265040650406504	0.0
