	364528_560-LP3-16S-1136	364528_561-LP3-16S-1137	364528_563-LP3-16S-1139	364528_564-LP3-16S-1140	364528_569-LP3-16S-1145	364528_571-LP3-16S-1147	364528_573-LP3-16S-1149
364528_560-LP3-16S-1136	0.0	0.8091777408637874	0.7996784135066327	0.7820263975155279	0.7377001875631222	0.7384251968503937	0.7216477369045601
364528_561-LP3-16S-1137	0.8091777408637874	0.0	0.8170937289278489	0.7290322580645161	0.8470787468247248	0.8018160284247927	0.7751531058617673
364528_563-LP3-16S-1139	0.7996784135066327	0.8170937289278489	0.0	0.8243621655258245	0.7956537399447713	0.7502689618074233	0.6979043683589138
364528_564-LP3-16S-1140	0.7820263975155279	0.7290322580645161	0.8243621655258245	0.0	0.8011094795235765	0.7658700522778192	0.7729816147082335
364528_569-LP3-16S-1145	0.7377001875631222	0.8470787468247248	0.7956537399447713	0.8011094795235765	0.0	0.7778824162518498	0.681059562088501
364528_571-LP3-16S-1147	0.7384251968503937	0.8018160284247927	0.7502689618074233	0.7658700522778192	0.7778824162518498	0.0	0.7214285714285714
364528_573-LP3-16S-1149	0.7216477369045601	0.7751531058617673	0.6979043683589138	0.7729816147082335	0.681059562088501	0.7214285714285714	0.0
