	364527_569-LP3-16S-0569	364527_573-LP3-16S-0573	364527_575-LP3-16S-0575	364528_345-LP3-16S-0921	364528_349-LP3-16S-0925	364528_361-LP3-16S-0937
364527_569-LP3-16S-0569	0.0	0.6866666666666666	0.6933333333333334	0.98	1.0	0.9266666666666666
364527_573-LP3-16S-0573	0.6866666666666666	0.0	0.5466666666666666	0.9666666666666667	0.9866666666666667	0.9133333333333333
364527_575-LP3-16S-0575	0.6933333333333334	0.5466666666666666	0.0	0.9666666666666667	0.9866666666666667	0.9133333333333333
364528_345-LP3-16S-0921	0.98	0.9666666666666667	0.9666666666666667	0.0	0.5	0.56
364528_349-LP3-16S-0925	1.0	0.9866666666666667	0.9866666666666667	0.5	0.0	0.48
364528_361-LP3-16S-0937	0.9266666666666666	0.9133333333333333	0.9133333333333333	0.56	0.48	0.0
