	364527_567-LP3-16S-0567	364527_570-LP3-16S-0570	364527_571-LP3-16S-0571	364527_572-LP3-16S-0572	364528_348-LP3-16S-0924	364528_355-LP3-16S-0931	364528_360-LP3-16S-0936
364527_567-LP3-16S-0567	0.0	0.31203252032520323	0.09658536585365854	0.0727479674796748	0.5178861788617887	0.08354471544715447	0.09300813008130081
364527_570-LP3-16S-0570	0.31203252032520323	0.0	0.30959349593495933	0.3225691056910569	0.5449430894308943	0.30578861788617884	0.30172357723577237
364527_571-LP3-16S-0571	0.09658536585365854	0.30959349593495933	0.0	0.031121951219512195	0.591869918699187	0.12656910569105692	0.023317073170731707
364527_572-LP3-16S-0572	0.0727479674796748	0.3225691056910569	0.031121951219512195	0.0	0.5852032520325203	0.10533333333333333	0.027707317073170732
364528_348-LP3-16S-0924	0.5178861788617887	0.5449430894308943	0.591869918699187	0.5852032520325203	0.0	0.5045203252032521	0.5909593495934959
364528_355-LP3-16S-0931	0.08354471544715447	0.30578861788617884	0.12656910569105692	0.10533333333333333	0.5045203252032521	0.0	0.11642276422764228
364528_360-LP3-16S-0936	0.09300813008130081	0.30172357723577237	0.023317073170731707	0.027707317073170732	0.5909593495934959	0.11642276422764228	0.0
