	364528_560-LP3-16S-1136	364528_561-LP3-16S-1137	364528_563-LP3-16S-1139	364528_564-LP3-16S-1140	364528_569-LP3-16S-1145	364528_571-LP3-16S-1147	364528_573-LP3-16S-1149
364528_560-LP3-16S-1136	0.0	0.9302325581395349	0.9508196721311475	0.9347826086956522	0.9142857142857143	0.9285714285714286	0.9074074074074074
364528_561-LP3-16S-1137	0.9302325581395349	0.0	0.8717948717948718	0.9259259259259259	0.9019607843137255	0.8888888888888888	0.8529411764705882
364528_563-LP3-16S-1139	0.9508196721311475	0.8717948717948718	0.0	0.9555555555555556	0.9117647058823529	0.9259259259259259	0.86
364528_564-LP3-16S-1140	0.9347826086956522	0.9259259259259259	0.9555555555555556	0.0	0.9464285714285714	0.9761904761904762	0.9230769230769231
364528_569-LP3-16S-1145	0.9142857142857143	0.9019607843137255	0.9117647058823529	0.9464285714285714	0.0	0.9230769230769231	0.85
364528_571-LP3-16S-1147	0.9285714285714286	0.8888888888888888	0.9259259259259259	0.9761904761904762	0.9230769230769231	0.0	0.8958333333333334
364528_573-LP3-16S-1149	0.9074074074074074	0.8529411764705882	0.86	0.9230769230769231	0.85	0.8958333333333334	0.0
