	364528_550-LP3-16S-1126	364528_559-LP3-16S-1135	364528_562-LP3-16S-1138	364528_565-LP3-16S-1141	364528_566-LP3-16S-1142	364528_568-LP3-16S-1144	364528_570-LP3-16S-1146	364528_572-LP3-16S-1148	364528_574-LP3-16S-1150
364528_550-LP3-16S-1126	0.0	0.20666666666666667	0.24666666666666667	0.22666666666666666	0.18	0.22	0.64	0.17333333333333334	0.23333333333333334
364528_559-LP3-16S-1135	0.20666666666666667	0.0	0.06	0.04	0.03333333333333333	0.04	0.6933333333333334	0.03333333333333333	0.04666666666666667
364528_562-LP3-16S-1138	0.24666666666666667	0.06	0.0	0.05333333333333334	0.07333333333333333	0.06666666666666667	0.7333333333333333	0.07333333333333333	0.05333333333333334
364528_565-LP3-16S-1141	0.22666666666666666	0.04	0.05333333333333334	0.0	0.05333333333333334	0.04	0.6933333333333334	0.05333333333333334	0.04666666666666667
364528_566-LP3-16S-1142	0.18	0.03333333333333333	0.07333333333333333	0.05333333333333334	0.0	0.04666666666666667	0.66	0.006666666666666667	0.06
364528_568-LP3-16S-1144	0.22	0.04	0.06666666666666667	0.04	0.04666666666666667	0.0	0.7	0.04666666666666667	0.04666666666666667
364528_570-LP3-16S-1146	0.64	0.6933333333333334	0.7333333333333333	0.6933333333333334	0.66	0.7	0.0	0.66	0.72
364528_572-LP3-16S-1148	0.17333333333333334	0.03333333333333333	0.07333333333333333	0.05333333333333334	0.006666666666666667	0.04666666666666667	0.66	0.0	0.06
364528_574-LP3-16S-1150	0.23333333333333334	0.04666666666666667	0.05333333333333334	0.04666666666666667	0.06	0.04666666666666667	0.72	0.06	0.0
