	364527_569-LP3-16S-0569	364527_573-LP3-16S-0573	364527_575-LP3-16S-0575	364528_345-LP3-16S-0921	364528_349-LP3-16S-0925	364528_361-LP3-16S-0937
364527_569-LP3-16S-0569	0.0	0.8181818181818182	0.6923076923076923	0.9583333333333334	1.0	0.9534883720930233
364527_573-LP3-16S-0573	0.8181818181818182	0.0	0.7727272727272727	0.9393939393939394	0.975609756097561	0.9423076923076923
364527_575-LP3-16S-0575	0.6923076923076923	0.7727272727272727	0.0	0.9166666666666666	0.96875	0.9302325581395349
364528_345-LP3-16S-0921	0.9583333333333334	0.9393939393939394	0.9166666666666666	0.0	0.9210526315789473	0.92
364528_349-LP3-16S-0925	1.0	0.975609756097561	0.96875	0.9210526315789473	0.0	0.9107142857142857
364528_361-LP3-16S-0937	0.9534883720930233	0.9423076923076923	0.9302325581395349	0.92	0.9107142857142857	0.0
