	364527_568-LP3-16S-0568	364528_346-LP3-16S-0922	364528_351-LP3-16S-0927	364528_352-LP3-16S-0928	364528_356-LP3-16S-0932	364528_362-LP3-16S-0938
364527_568-LP3-16S-0568	0.0	0.8888888888888888	0.8	0.8461538461538461	0.7692307692307693	0.875
364528_346-LP3-16S-0922	0.8888888888888888	0.0	0.8333333333333334	0.967741935483871	0.8	0.8823529411764706
364528_351-LP3-16S-0927	0.8	0.8333333333333334	0.0	0.9090909090909091	0.75	0.9285714285714286
364528_352-LP3-16S-0928	0.8461538461538461	0.967741935483871	0.9090909090909091	0.0	0.88	0.8571428571428571
364528_356-LP3-16S-0932	0.7692307692307693	0.8	0.75	0.88	0.0	0.8666666666666667
364528_362-LP3-16S-0938	0.875	0.8823529411764706	0.9285714285714286	0.8571428571428571	0.8666666666666667	0.0
