	364528_164-LP3-16S-0740	364528_172-LP3-16S-0748	364528_180-LP3-16S-0756	364528_192-LP3-16S-0768	364528_373-LP3-16S-0949	364528_375-LP3-16S-0951
364528_164-LP3-16S-0740	0.0	0.926829268292683	0.9130434782608695	0.9583333333333334	0.8518518518518519	0.9285714285714286
364528_172-LP3-16S-0748	0.926829268292683	0.0	0.9555555555555556	0.9	0.9032258064516129	0.8148148148148148
364528_180-LP3-16S-0756	0.9130434782608695	0.9555555555555556	0.0	0.9607843137254902	0.9344262295081968	0.9322033898305084
364528_192-LP3-16S-0768	0.9583333333333334	0.9	0.9607843137254902	0.0	0.9473684210526315	0.8125
364528_373-LP3-16S-0949	0.8518518518518519	0.9032258064516129	0.9344262295081968	0.9473684210526315	0.0	0.8888888888888888
364528_375-LP3-16S-0951	0.9285714285714286	0.8148148148148148	0.9322033898305084	0.8125	0.8888888888888888	0.0
