SAMPLE_NAME,Collected by,COLLECTION_DATE,DESCRIPTION,BOKULICH.ENVIRONMENTAL_SAMPLE.GEO_LOC_NAME,BOKULICH.ENVIRONMENTAL_SAMPLE.ISOLATION_SOURCE,LOCATION_ID,BOKULICH.ENVIRONMENTAL_SAMPLE.LATITUDE,BOKULICH.ENVIRONMENTAL_SAMPLE.LONGITUDE,parents,,COUNT,68,,not used,numbers,ID on extraction plate
SB_must_min20_24h_3,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594267,47.310316,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.24,24,1024
SB_must_min20_1wk_1,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594416,47.310444,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.25,25,1025
SB_must_min20_1wk_2,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594491,47.310141,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.26,26,1026
SB_must_min20_1wk_3,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594267,47.310316,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.27,27,1027
SB_must_min20_1month_1,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594416,47.310444,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.28,28,1028
SB_must_min20_1month_2,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594491,47.310141,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.29,29,1029
SB_must_min20_1month_3,Lena Flörl,2021-10-08 00:00:00 +0200,,Weingut_Diederik,must,Weingut_Diederik,8.594267,47.310316,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.30,30,1030
SB_must_winery_Meilen,Didi Michel,,,Weingut_Diederik,must,Weingut_Diederik,,,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY190,,,,,ID1.31,31,1031
SB_swab(cotton)_freeze_immediately_1,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,swab(cotton),Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.32,32,1032
SB_swab(cotton)_freeze_immediately_2,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,swab(cotton),Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.33,33,1033
SB_swab(cotton)_freeze_immediately_3,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,swab(cotton),Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.34,34,1034
SB_swab(cotton)_4deg_24h_1,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,swab(cotton),Grenchen,7.4085074,47.1630425,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.35,35,1035
SB_swab(cotton)_4deg_24h_2,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,swab(cotton),Grenchen,7.408851,47.162828,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.36,36,1036
SB_swab(cotton)_4deg_24h_3,Lena Flörl,2021-10-13 00:00:00 +0200,,Grenchen,swab(cotton),Grenchen,7.408264,47.163233,/BOKULICH_LFLOERL/SAMPLING_BENCHMARKING/ENTRY191,,,,,ID1.37,37,1037
