id	SAMPLE_NAME	Plot	Location	Variety	Water_Stress	GEOL	Soil_type	Soil_depth	Precipitation	Latitude	Longitude	Year
364527_543-LP3-16S-0543	Valais_65	Bernu_1	Miège	Chasselas	6116.0	61.0	Calcaire	above_150	RU grande, >150 mm	46.30583333333333	7.554722222222222	2023
364527_538-LP3-16S-0538	Valais_85	Visp_2	Visp	Pinot noir	9336.0	93.0	Calcique	above_150	RU grande, >150 mm	46.29111111111111	7.876111111111111	2023
364527_540-LP3-16S-0540	Valais_89	Leytron_4	Leytron	Chasselas	8816.0	88.0	Calcaire	above_150	RU faible, <100 mm	46.186388888888885	7.2219444444444445	2023
364527_541-LP3-16S-0541	Valais_73	Salg_2	Salgesch	Pinot noir                                                                                                                                                                                                                                                     	1716.0	17.0	Calcaire	above_150	RU faible, <100 mm	46.316944444444445	7.574722222222222	2023
364527_524-LP3-16S-0524	Valais_71	Sierre_3	Sierre	Pinot Noir						46.299166666666665	7.539722222222222	2023
364527_525-LP3-16S-0525	Valais_57	Muraz_3	Venthône	Pinot noir	2524.0	25.0	Calcareous	variable_40-150	RU faible, <100 mm	46.29861111111111	7.524166666666667	2023
364527_526-LP3-16S-0526	Valais_52	Valençon	Plat de Valençon	Pinot noir 	2415.0	24.0	Calcaire	100-150	RU moyenne, comprise entre 100 et 150 mm	46.27611111111111	7.4725	2023
364527_532-LP3-16S-0532	Valais_72	Salg_1	Salgesch	Pinot noir                                                                                                                                                                                                                                                     	6216.0	62.0	Calcaire	above_150	RU faible, <100 mm	46.31444444444444	7.576111111111111	2023
364527_533-LP3-16S-0533	Valais_53	Loc	Venthône	Chasselas	4816.0	48.0	Calcaire	above_150	RU moyenne, comprise entre 100 et 150 mm	46.294999999999995	7.514722222222222	2023
364527_528-LP3-16S-0528	Valais_51	Granges	Sierre	Pinot Noir	1724.0	17.0	Calcareous	variable_40-150	RU faible, <100 mm	46.26222222222222	7.477222222222222	2023
364527_529-LP3-16S-0529	Valais_82	Gampel_1	Gampel	Pinot noir						46.31472222222222	7.722777777777778	2023
364527_530-LP3-16S-0530	Valais_88	Leytron_3	Leytron	Chasselas	8816.0	88.0	Calcaire	above_150	RU faible, <100 mm	46.186388888888885	7.2219444444444445	2023
364527_491-LP3-16S-0491	Valais_9	Mart_6	Plan-Cerisier	Pinot noir 	6315.0	63.0	Calcaire	100-150	RU moyenne, comprise entre 100 et 150 mm	46.099444444444444	7.058888888888888	2023
364527_492-LP3-16S-0492	Valais_13	Fully_2	Fully	Chasselas	6515.0	65.0	Calcaire	100-150	RU moyenne, comprise entre 100 et 150 mm	46.150277777777774	7.125555555555555	2023
364527_493-LP3-16S-0493	Valais_14	Fully_3	Fully	Pinot noir	6014.0	60.0	Calcaire	variable_40-150	RU grande, >150 mm	46.15361111111111	7.129722222222222	2023
364527_498-LP3-16S-0498	Valais_19	Riddes_2	Riddes	Chasselas	6836.0	68.0	Calcique	above_150	RU moyenne, comprise entre 100 et 150 mm	46.17527777777777	7.238611111111111	2023
364527_499-LP3-16S-0499	Valais_28	Chamos_3	Ardon	Chasselas	9116.0	91.0	Calcaire	above_150	RU grande, >150 mm	46.19694444444444	7.245277777777778	2023
364527_500-LP3-16S-0500	Valais_34	Conth_1	Erde, bas	Chasselas	2416.0	24.0	Calcaire	above_150	RU moyenne, comprise entre 100 et 150 mm	46.23277777777778	7.294722222222222	2023
364527_501-LP3-16S-0501	Valais_36	Conth_3	Erde, haut	Chasselas	4713.0	47.0	Calcaire	70-100	RU faible, <100 mm	46.235	7.293055555555555	2023
364527_494-LP3-16S-0494	Valais_10	Charra_1	Charrat	Pinot noir 	6216.0	62.0	Calcaire	above_150	RU faible, <100 mm	46.11527777777778	7.123055555555555	2023
364527_495-LP3-16S-0495	Valais_3	StMau	Saint-Maurice	Pinot noir	8816.0	88.0	Calcaire	above_150	RU faible, <100 mm	46.20722222222223	7.0	2023
364527_496-LP3-16S-0496	Valais_25	Leytron_8	Leytron	Pinot noir	8816.0	88.0	Calcaire	above_150	RU faible, <100 mm	46.17944444444444	7.221111111111111	2023
364527_497-LP3-16S-0497	Valais_35	Conth_2	Erde, bas	Chasselas	2416.0	24.0	Calcaire	above_150	RU moyenne, comprise entre 100 et 150 mm	46.23277777777778	7.294722222222222	2023
364527_481-LP3-16S-0481	Valais_7	Mart_4	martigny	Chasselas	8216.0	82.0	Calcaire	above_150	RU grande, >150 mm	46.09444444444445	7.059444444444444	2023
364527_482-LP3-16S-0482	Valais_30	Vétroz_1	Vétroz	Chasselas	4214.0	42.0	Calcaire	variable_40-150	RU faible, <100 mm	46.22527777777778	7.274444444444445	2023
364527_483-LP3-16S-0483	Valais_2	Evou_2	Les Evouettes	Pinot noir	6216.0	62.0	Calcaire	above_150	RU faible, <100 mm	46.35777777777778	6.875000000000001	2023
364527_487-LP3-16S-0487	Valais_23	Leytron_2	Leytron	Pinot noir	6916.0	69.0	Calcaire	above_150	RU grande, >150 mm	46.191111111111105	7.219166666666667	2023
364527_488-LP3-16S-0488	Valais_4	Mart_1	martigny	Chasselas	6035.0	60.0	Calcique	100-150	RU grande, >150 mm	46.09444444444445	7.057777777777778	2023
364527_489-LP3-16S-0489	Valais_20	Riddes_1	Riddes	Pinot noir	6836.0	68.0	Calcique	above_150	RU moyenne, comprise entre 100 et 150 mm	46.17527777777777	7.238611111111111	2023
364527_490-LP3-16S-0490	Valais_29	Chamos_4	Ardon	Pinot noir	9116.0	91.0	Calcaire	above_150	RU grande, >150 mm	46.19638888888888	7.2444444444444445	2023
364527_484-LP3-16S-0484	Valais_33	Vétroz_4	Vétroz	Chasselas	4714.0	47.0	Calcaire	variable_40-150	RU faible, <100 mm	46.23083333333334	7.285277777777778	2023
364527_485-LP3-16S-0485	Valais_26	Chamos_1	Chamoson	Pinot noir	6916.0	69.0	Calcaire	above_150	RU grande, >150 mm	46.19138888888889	7.229722222222223	2023
364527_486-LP3-16S-0486	Valais_22	Leytron_1	Leytron	Chasselas	6916.0	69.0	Calcaire	above_150	RU grande, >150 mm	46.19277777777778	7.2175	2023
