SAMPLE_NAME,Frequency
Grenchen_2023-08-23_1C,13809.0
Sav_3_17-08-2023_soil,13555.0
MV_Must_Plot12_2022-09-13,13112.0
Lavaux_2021-08-31_soil_Plot17,13035.0
22DL04M_5657_lees,12467.0
Grenchen_2022-07-02_2C,12382.0
Lavaux_2022-08-10_bark_Plot19,12313.0
Lavaux_2021-09-30_must_Plot20_Row11/Vine20_ID213,11883.0
MV_Must_Plot4_2022-09-13,11746.0
Mart_6_17-08-2023_soil,11668.0
Lavaux_2023-08-24_soil_Plot15,11346.0
DNA49_PosCtrl,11220.0
Sav_1_17-08-2023_soil,10955.0
Erlenbach_2022-10-20_2,10818.0
MV_Must_Plot13_2022-09-13,10326.0
Lavaux_2021-08-31_bark_Plot18,9751.0
Leytron_Agroscope3_17-08-2023_soil,9635.0
Lavaux_2022-08-10_bark_Plot9,9273.0
MV_Must_Plot19_2023-09-23,9022.0
Erlenbach_2023-06-20_2,8877.0
DNA39_PosCtrl,8789.0
DNA12_PosCtrl,8770.0
Lavaux_2023-08-24_soil_Plot12,8512.0
Lavaux_2021-08-31_soil_Plot18,8508.0
Lavaux_2022-03-08_soil_Plot5,8315.0
MV_Post-MLF_Plot4_2023-12-11,8138.0
MV_Post-AF_Plot4_2022-09-30,8131.0
Lavaux_2022-03-08_soil_Plot18,8033.0
Valais_75,7964.0
Grenchen_2022-10-20_1C,7478.0
Lavaux_2021-08-31_soil_Plot4,7416.0
Lavaux_2021-08-31_soil_Plot14,7365.0
Lavaux_2022-03-08_soil_Plot9,7093.0
Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6,7053.0
Lavaux_2021-08-31_soil_Plot9,7005.0
Lavaux_2021-09-30_must_Plot18_Row5/Vine14_ID188,6602.0
Grenchen_2022-07-02_2B,6478.0
Erlenbach_2022-06-03_1,6192.0
Muraz_1_17-08-2023_soil,6038.0
Grenchen_2022-10-20_2C,5845.0
Valais_26,5708.0
Erlenbach_2022-06-30_1,5588.0
Lavaux_2023-05-10_soil_Plot12,5236.0
Lavaux_2022-08-10_bark_Plot14,5176.0
MV_Post-AF_Plot9_2022-09-30,4969.0
Valais_2,4885.0
Grenchen_2023-10-10_2A,4752.0
Valais_78,4697.0
Lavaux_2023-09-20_must_Plot13_RepC,4488.0
Lavaux_2021-09-30_must_Plot9_Row9/Vine40_ID51,4477.0
Valais_7,4454.0
Erlenbach_2023-10-10_4,4232.0
MV_Post-AF_Plot20_2022-09-30,4089.0
Lavaux_2021-09-30_must_Plot20_Row5/Vine20_ID204,4079.0
Leuk_1_17-08-2023_soil,4037.0
Erlenbach_2023-10-10_1,3940.0
Lavaux_2023-05-10_soil_Plot14,3820.0
Lavaux_2021-09-30_must_Plot11_Row7/Vine15_ID68,3533.0
Lavaux_2023-05-10_soil_Plot20,3524.0
Erlenbach_2023-06-20_6,3452.0
Grenchen_2022-10-20_2A,3432.0
DNA24_posCtrl_2,3348.0
DNA31_NegCtrl,3303.0
Valais_4,3256.0
Lavaux_2023-08-24_soil_Plot20,3224.0
Erlenbach_2023-10-10_2,3203.0
MV_Post-AF_Plot13_2023-10-11,3187.0
Strickhof_05-09-2023_soil,3024.0
Grenchen_2023-10-10_1A,2935.0
