id	SAMPLE_NAME	Fungal conc. (ng/uL)	Collection_ID	sample_type	Plot_ID	COLLECTION_DATE	Replicate	Time_point	Year	Year_Cat	Plot	Altitude	Average_slope	Exposition	Min_radiation	Max_radiation	Average_radiation	Soil_thickness	Soil_type	Soil_depth	Hydromorphie	Hydromorphie_code	Geology	Coordinates	Latitude	Longitude	Quadrant	Cluster	Plot_PCA_kMeans_Cluster	washed
364526_290-LP3-ITS-0866	Lavaux_2021-08-31_bark_Plot4	2.7	Veraison_2021	bark	Lavaux_Plot_4	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′55.815″N 6°42′29.007″E	46.4988570548289	6.70807175575627	NW	Cluster3	Cluster1	no
364526_289-LP3-ITS-0865	Lavaux_2021-08-31_bark_Plot5	1.6	Veraison_2021	bark	Lavaux_Plot_5	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′47.037″N 6°42′31.353″E	46.4964065903741	6.70871201397826	SW	Cluster3	Cluster3	no
364526_285-LP3-ITS-0861	Lavaux_2021-08-31_bark_Plot9	5.3	Veraison_2021	bark	Lavaux_Plot_9	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	46°29′57.936″N 6°42′44.103″E	46.4994682681065	6.71224196270189	NE	Cluster3	Cluster2	no
364526_287-LP3-ITS-0863	Lavaux_2021-08-31_bark_Plot11	1.4	Veraison_2021	bark	Lavaux_Plot_11	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	46°30′00.818″N 6°42′23.968″E	46.5002436975776	6.70665543730247	NW	Cluster3	Cluster1	no
364526_282-LP3-ITS-0858	Lavaux_2021-08-31_bark_Plot12	2.2	Veraison_2021	bark	Lavaux_Plot_12	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	46°30′09.426″N 6°42′17.825″E	46.5026282835503	6.70495171985618	NW	Cluster1	Cluster1	no
364526_286-LP3-ITS-0862	Lavaux_2021-08-31_bark_Plot13	1.5	Veraison_2021	bark	Lavaux_Plot_13	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	46°29′59.656″N 6°42′21.944″E	46.4999921506673	6.70610909063848	NW	Cluster3	Cluster1	no
364526_278-LP3-ITS-0854	Lavaux_2021-08-31_bark_Plot14	2.8	Veraison_2021	bark	Lavaux_Plot_14	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	46°29′50.529″N 6°42′25.467″E	46.4974937572741	6.70710403923947	NW	Cluster3	Cluster3	no
364526_280-LP3-ITS-0856	Lavaux_2021-08-31_bark_Plot15	2.1	Veraison_2021	bark	Lavaux_Plot_15	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	46°30′21.494″N 6°42′08.609″E	46.5060665399151	6.70239140408832	NW	Cluster1	Cluster1	no
364526_277-LP3-ITS-0853	Lavaux_2021-08-31_bark_Plot18	3.0	Veraison_2021	bark	Lavaux_Plot_18	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′40.584″N 6°42′47.642″E	46.4947100454995	6.7132553622143	SE	Cluster2	Cluster3	no
364526_276-LP3-ITS-0852	Lavaux_2021-08-31_bark_Plot19	5.2	Veraison_2021	bark	Lavaux_Plot_19	2021-08-31 00:00:00 +0200		Veraison	2021	Year2021	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	46°29′45.020″N 6°42′57.758″E	46.4959274724947	6.7160224459764	SE	Cluster2	Cluster2	no
