id 	plot	row	vine	Lat	Long
Plot_17_row_17_vine_40	17	17	40	46.487869	6.7208
Plot_17_row_18_vine_10	17	18	10	46.48778	6.721149
Plot_17_row_18_vine_20	17	18	20	46.487813	6.721031
Plot_17_row_18_vine_30	17	18	30	46.487852	6.720915
Plot_17_row_18_vine_40	17	18	40	46.487883	6.720799
Plot_18_row_2_vine_7	18	2	7	46.49395	6.713039
Plot_18_row_3_vine_14	18	3	14	46.494002	6.713009
Plot_18_row_4_vine_8	18	4	8	46.493973	6.713062
Plot_18_row_5_vine_14	18	5	14	46.494017	6.713037
Plot_18_row_6_vine_7	18	6	7	46.493982	6.713093
Plot_18_row_7_vine_14	18	7	14	46.49403	6.713063
Plot_18_row_8_vine_7	18	8	7	46.494003	6.713115
Plot_18_row_9_vine_14	18	9	14	46.494051	6.713084
Plot_18_row_10_vine_7	18	10	7	46.494016	6.713148
Plot_18_row_11_vine_14	18	11	14	46.494079	6.713138
Plot_19_row_2_vine_5	19	2	5	46.495252	6.716084
Plot_19_row_3_vine_10	19	3	10	46.495233	6.716145
Plot_19_row_4_vine_5	19	4	5	46.495258	6.716093
Plot_19_row_4_vine_11	19	4	11	46.495243	6.716154
Plot_20_row_2_vine_11	20	2	11	46.493102	6.72101
Plot_20_row_2_vine_30	20	2	30	46.493074	6.720806
Plot_20_row_3_vine_20	20	3	20	46.493099	6.720902
Plot_20_row_4_vine_10	20	4	10	46.493123	6.720973
Plot_20_row_4_vine_30	20	4	30	46.493098	6.720806
Plot_20_row_5_vine_20	20	5	20	46.493125	6.720916
Plot_20_row_6_vine_10	20	6	10	46.49315	6.720971
Plot_20_row_6_vine_30	20	6	30	46.493125	6.72079
Plot_20_row_7_vine_20	20	7	20	46.493152	6.720897
Plot_20_row_8_vine_11	20	8	11	46.493178	6.720956
Plot_20_row_8_vine_30	20	8	30	46.49315	6.72077
Plot_20_row_9_vine_20	20	9	20	46.493174	6.720885
Plot_20_row_10_vine_10	20	10	10	46.493201	6.720937
Plot_20_row_10_vine_30	20	10	30	46.493179	6.720769
Plot_20_row_11_vine_20	20	11	20	46.493203	6.72088
Plot_20_row_12_vine_11	20	12	11	46.493226	6.720919
Plot_20_row_13_vine_20	20	13	20	46.49323	6.720869
Plot_20_row_14_vine_10	20	14	10	46.493247	6.720907
Plot_20_row_15_vine_5	20	15	5	46.493265	6.720932
Plot_20_row_16_vine_10	20	16	10	46.493253	6.720882
Plot_20_row_16_vine_20	20	16	20	46.493239	6.720833
