id	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Fungal conc. (ng/uL)
364525_135-LP3-ITS-0135	Lavaux_2021-09-30_must_Plot17_Row11/Vine40_ID168	Sample	Lavaux	DNA12	P2	5.84
364525_015-LP3-ITS-0015	Lavaux_2021-09-30_must_Plot15_Row11/Vine20_ID135	Sample	Lavaux	DNA11	P1	5.06
364525_257-LP3-ITS-0257	Lavaux_2021-09-30_must_Plot11_Row5/Vine19_ID64	Sample	Lavaux	DNA14	P3	0.65
364525_136-LP3-ITS-0136	Lavaux_2021-09-30_must_Plot9_Row6/Vine30_ID45	Sample	Lavaux	DNA12	P2	2.12
364525_014-LP3-ITS-0014	DNA11_PosCtrl_1	PosCtrl	Lavaux	DNA11	P1	17.79
364525_137-LP3-ITS-0137	Lavaux_2021-09-30_must_Plot9_Row10/Vine10_ID52	Sample	Lavaux	DNA12	P2	1.52
364525_017-LP3-ITS-0017	Lavaux_2021-09-30_must_Plot4_Row10/Vine10_ID7	Sample	Lavaux	DNA11	P1	5.23
364525_016-LP3-ITS-0016	Lavaux_2021-09-30_must_Plot15_Row7/Vine39_ID129b	Sample	Lavaux	DNA11	P1	3.17
364525_498-LP3-ITS-0498	Valais_19	Sample	Valais	DNA38	P6	7.6
364525_499-LP3-ITS-0499	Valais_28	Sample	Valais	DNA38	P6	12.2
364525_378-LP3-ITS-0378	Grenchen_2021-06-11_soil_1A_ref	Sample	SoilColonialization	DNA15	P4	2.95
364525_500-LP3-ITS-0500	Valais_34	Sample	Valais	DNA38	P6	3.3
364525_379-LP3-ITS-0379	Grenchen_2021-07-21_soil_2A	Sample	SoilColonialization	DNA15	P4	12.63
364525_258-LP3-ITS-0258	Lavaux_2021-09-30_must_Plot11_Row4/Vine10_ID61	Sample	Lavaux	DNA14	P3	1.35
364525_439-LP3-ITS-0439	SB_NaCl_sol_berry_wash_2	Sample	SamplingBenchmarking	DNA17	P5	7.79
364525_318-LP3-ITS-0318	Lavaux_2022-03-08_soil_Plot4	Sample	Lavaux	DNA15	P4	3.12
364525_440-LP3-ITS-0440	SB_NaCl_sol_berry_wash_3	Sample	SamplingBenchmarking	DNA17	P5	4.83
364525_319-LP3-ITS-0319	empty	Sample	NOT-USE	DNA15	P4	5.11
364525_441-LP3-ITS-0441	SB_water_berry_sonication_1	Sample	SamplingBenchmarking	DNA17	P5	5.72
364525_320-LP3-ITS-0320	empty	Sample	NOT-USE	DNA15	P4	5.26
364525_442-LP3-ITS-0442	SB_water_berry_sonication_2	Sample	SamplingBenchmarking	DNA17	P5	3.86
364525_321-LP3-ITS-0321	Lavaux_2021-08-31_soil_Plot4	Sample	Lavaux	DNA15	P4	7.55
364525_438-LP3-ITS-0438	SB_NaCl_sol_berry_wash_1	Sample	SamplingBenchmarking	DNA17	P5	3.95
364525_447-LP3-ITS-0447	SB_gylcerol_berry_sonication_1	Sample	SamplingBenchmarking	DNA17	P5	5.23
364525_326-LP3-ITS-0326	Lavaux_2022-08-10_bark_Plot17	Sample	Lavaux	DNA15	P4	0.99
364525_327-LP3-ITS-0327	Erlenbach_2022-10-20_2	Sample	SoilColonialization	DNA15	P4	6.22
364525_443-LP3-ITS-0443	SB_water_berry_sonication_3	Sample	SamplingBenchmarking	DNA17	P5	8.56
364525_322-LP3-ITS-0322	Lavaux_2021-08-31_soil_Plot9	Sample	Lavaux	DNA15	P4	7.56
364525_444-LP3-ITS-0444	SB_PBS_berry_sonication_1	Sample	SamplingBenchmarking	DNA17	P5	5.96
364525_323-LP3-ITS-0323	Lavaux_2021-08-31_soil_Plot17	Sample	Lavaux	DNA15	P4	9.82
364525_445-LP3-ITS-0445	SB_PBS_berry_sonication_2	Sample	SamplingBenchmarking	DNA17	P5	15.75
364525_324-LP3-ITS-0324	Lavaux_2021-08-31_soil_Plot11	Sample	Lavaux	DNA15	P4	4.0
