id	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Fungal conc. (ng/uL)
364525_553-LP3-ITS-0553	Valais_90	Sample	Valais	DNA38	P6	9.7
364525_554-LP3-ITS-0554	Valais_62	Sample	Valais	DNA38	P6	3.1
364525_555-LP3-ITS-0555	Valais_77	Sample	Valais	DNA38	P6	3.6
364525_548-LP3-ITS-0548	Valais_66	Sample	Valais	DNA38	P6	7.9
364525_549-LP3-ITS-0549	Valais_83	Sample	Valais	DNA38	P6	0.3
364525_550-LP3-ITS-0550	Valais_91	Sample	Valais	DNA38	P6	4.6
364525_551-LP3-ITS-0551	Valais_54	Sample	Valais	DNA38	P6	4.5
364525_007-LP3-ITS-0007	Lavaux_2021-09-30_must_Plot20_Row10/Vine10_ID211	Sample	Lavaux	DNA11	P1	4.97
364525_006-LP3-ITS-0006	Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121c	Sample	Lavaux	DNA11	P1	0.95
364525_003-LP3-ITS-0003	Lavaux_2021-09-30_must_Plot17_Row13/Vine20_ID171	Sample	Lavaux	DNA11	P1	13.36
364525_002-LP3-ITS-0002	Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121b	Sample	Lavaux	DNA11	P1	3.56
364525_005-LP3-ITS-0005	Lavaux_2021-09-30_must_Plot11_Row6/Vine22_ID66	Sample	Lavaux	DNA11	P1	4.08
364525_004-LP3-ITS-0004	Lavaux_2021-09-30_must_Plot5_Row6/Vine30_ID37b	Sample	Lavaux	DNA11	P1	1.3
364525_001-LP3-ITS-0001	Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6	Sample	Lavaux	DNA11	P1	0.92
364525_516-LP3-ITS-0516	Valais_8	Sample	Valais	DNA38	P6	3.8
364525_517-LP3-ITS-0517	Valais_18	Sample	Valais	DNA38	P6	0.7
364525_512-LP3-ITS-0512	Valais_16	Sample	Valais	DNA38	P6	2.6
364525_513-LP3-ITS-0513	Valais_32	Sample	Valais	DNA38	P6	7.4
364525_514-LP3-ITS-0514	Valais_5	Sample	Valais	DNA38	P6	2.4
364525_515-LP3-ITS-0515	Valais_6	Sample	Valais	DNA38	P6	5.6
364525_519-LP3-ITS-0519	Valais_59	Sample	Valais	DNA38	P6	6.5
364525_520-LP3-ITS-0520	Valais_79	Sample	Valais	DNA38	P6	1.7
364525_521-LP3-ITS-0521	Valais_70	Sample	Valais	DNA38	P6	5.3
364525_522-LP3-ITS-0522	Valais_76	Sample	Valais	DNA38	P6	1.3
364525_518-LP3-ITS-0518	Valais_86	Sample	Valais	DNA38	P6	5.0
364525_508-LP3-ITS-0508	Valais_27	Sample	Valais	DNA38	P6	3.5
364525_509-LP3-ITS-0509	Valais_12	Sample	Valais	DNA38	P6	7.4
364525_510-LP3-ITS-0510	Valais_11	Sample	Valais	DNA38	P6	4.8
364525_511-LP3-ITS-0511	Valais_37	Sample	Valais	DNA38	P6	6.5
