id	SAMPLE_NAME	plot	row	vine	Lat	Long
364527_069-LP3-16S-0069	Lavaux_2021-09-30_must_Plot12_Row4/Vine10_ID82	12	4	10	46.502276	6.704864
364527_012-LP3-16S-0012	Lavaux_2021-09-30_must_Plot12_Row4/Vine30_ID83	12	4	30	46.502405	6.705064
364527_094-LP3-16S-0094	Lavaux_2021-09-30_must_Plot12_Row4/Vine50_ID84	12	4	50	46.502482	6.705162
364527_164-LP3-16S-0164	Lavaux_2021-09-30_must_Plot12_Row5/Vine20_ID85	12	5	20	46.50231	6.704985
364527_209-LP3-16S-0209	Lavaux_2021-09-30_must_Plot12_Row5/Vine40_ID86	12	5	40	46.502425	6.705143
364527_182-LP3-16S-0182	Lavaux_2021-09-30_must_Plot12_Row5/Vine60_ID87	12	5	60	46.502499	6.705246
364527_092-LP3-16S-0092	Lavaux_2021-09-30_must_Plot12_Row6/Vine11_ID88	12	6	11	46.502225	6.704904
364527_111-LP3-16S-0111	Lavaux_2021-09-30_must_Plot12_Row6/Vine31_ID89	12	6	31	46.502368	6.705121
364527_089-LP3-16S-0089	Lavaux_2021-09-30_must_Plot12_Row6/Vine50_ID90	12	6	50	46.50244	6.705211
364527_114-LP3-16S-0114	Lavaux_2021-09-30_must_Plot12_Row7/Vine20_ID91	12	7	20	46.502232	6.705033
364527_112-LP3-16S-0112	Lavaux_2021-09-30_must_Plot12_Row7/Vine40_ID92	12	7	40	46.502338	6.705172
364527_062-LP3-16S-0062	Lavaux_2021-09-30_must_Plot12_Row7/Vine60_ID93	12	7	60	46.502465	6.705316
364527_176-LP3-16S-0176	Lavaux_2021-09-30_must_Plot13_Row1/Vine10_ID94	13	1	10	46.501886	6.712115
364527_032-LP3-16S-0032	Lavaux_2021-09-30_must_Plot13_Row1/Vine30_ID95	13	1	30	46.501953	6.711975
364527_049-LP3-16S-0049	Lavaux_2021-09-30_must_Plot13_Row2/Vine20_ID96	13	2	20	46.501897	6.712056
364527_079-LP3-16S-0079	Lavaux_2021-09-30_must_Plot13_Row3/Vine10_ID97	13	3	10	46.501856	6.712114
364527_175-LP3-16S-0175	Lavaux_2021-09-30_must_Plot13_Row3/Vine30_ID98	13	3	30	46.501932	6.711957
364527_282-LP3-16S-0282	Lavaux_2021-09-30_must_Plot13_Row4/Vine20_ID99	13	4	20	46.501882	6.712027
364527_142-LP3-16S-0142	Lavaux_2021-09-30_must_Plot13_Row5/Vine10_ID100	13	5	10	46.50184	6.712085
364527_241-LP3-16S-0241	Lavaux_2021-09-30_must_Plot13_Row5/Vine31_ID101	13	5	31	46.501921	6.711919
364527_130-LP3-16S-0130	Lavaux_2021-09-30_must_Plot13_Row6/Vine20_ID102	13	6	20	46.50187	6.711991
364527_060-LP3-16S-0060	Lavaux_2021-09-30_must_Plot14_Row2/Vine4_ID103	14	2	4	46.497673	6.705571
364528_320-LP3-16S-0896	Lavaux_2021-09-30_must_Plot14_Row4/Vine4_ID104	14	4	4	46.497701	6.705579
364527_122-LP3-16S-0122	Lavaux_2021-09-30_must_Plot14_Row5/Vine8_ID105	14	5	8	46.497735	6.705536
364527_120-LP3-16S-0120	Lavaux_2021-09-30_must_Plot14_Row6/Vine4_ID106	14	6	4	46.497732	6.70558
364527_186-LP3-16S-0186	Lavaux_2021-09-30_must_Plot14_Row6/Vine12_ID107	14	6	12	46.497767	6.705503
364527_052-LP3-16S-0052	Lavaux_2021-09-30_must_Plot14_Row7/Vine8_ID108	14	7	8	46.497763	6.705547
364527_036-LP3-16S-0036	Lavaux_2021-09-30_must_Plot14_Row8/Vine4_ID109	14	8	4	46.497759	6.70559
364527_151-LP3-16S-0151	Lavaux_2021-09-30_must_Plot14_Row9/Vine10_ID110	14	9	10	46.497793	6.705546
364527_101-LP3-16S-0101	Lavaux_2021-09-30_must_Plot14_Row10/Vine4_ID111	14	10	4	46.497784	6.7056
364527_158-LP3-16S-0158	Lavaux_2021-09-30_must_Plot14_Row11/Vine8_ID112	14	11	8	46.497817	6.705565
364527_070-LP3-16S-0070	Lavaux_2021-09-30_must_Plot14_Row12/Vine4_ID113	14	12	4	46.497813	6.705606
364527_116-LP3-16S-0116	Lavaux_2021-09-30_must_Plot14_Row13/Vine10_ID114	14	13	10	46.497844	6.705549
364527_065-LP3-16S-0065	Lavaux_2021-09-30_must_Plot14_Row14/Vine4_ID115	14	14	4	46.497823	6.705602
364527_129-LP3-16S-0129	Lavaux_2021-09-30_must_Plot14_Row15/Vine9_ID116	14	15	9	46.497846	6.705573
364527_168-LP3-16S-0168	Lavaux_2021-09-30_must_Plot14_Row16/Vine4_ID117	14	16	4	46.49784	6.705612
364527_189-LP3-16S-0189	Lavaux_2021-09-30_must_Plot14_Row17/Vine10_ID118	14	17	10	46.497872	6.705557
364527_167-LP3-16S-0167	Lavaux_2021-09-30_must_Plot14_Row18/Vine4_ID119	14	18	4	46.497855	6.705613
364527_051-LP3-16S-0051	Lavaux_2021-09-30_must_Plot15_Row2/Vine11_ID120	15	2	11	46.505224	6.701974
364527_125-LP3-16S-0125	Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121a	15	3	20	46.505275	6.702023
364527_002-LP3-16S-0002	Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121b	15	3	20	46.505275	6.702023
364527_006-LP3-16S-0006	Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121c	15	3	20	46.505275	6.702023
364527_095-LP3-16S-0095	Lavaux_2021-09-30_must_Plot15_Row4/Vine10_ID122	15	4	10	46.505236	6.701939
364527_178-LP3-16S-0178	Lavaux_2021-09-30_must_Plot15_Row4/Vine30_ID123	15	4	30	46.505329	6.702083
364527_024-LP3-16S-0024	Lavaux_2021-09-30_must_Plot15_Row5/Vine20_ID124	15	5	20	46.505299	6.70201
364527_185-LP3-16S-0185	Lavaux_2021-09-30_must_Plot15_Row6/Vine10_ID126	15	6	10	46.505258	6.701923
364527_148-LP3-16S-0148	Lavaux_2021-09-30_must_Plot15_Row6/Vine30_ID127	15	6	30	46.505377	6.702098
364527_103-LP3-16S-0103	Lavaux_2021-09-30_must_Plot15_Row7/Vine20_ID128a	15	7	20	46.505317	6.701982
364527_124-LP3-16S-0124	Lavaux_2021-09-30_must_Plot15_Row7/Vine20_ID128b	15	7	20	46.505317	6.701982
364527_146-LP3-16S-0146	Lavaux_2021-09-30_must_Plot15_Row7/Vine39_ID129a	15	7	39	46.505425	6.702125
364527_016-LP3-16S-0016	Lavaux_2021-09-30_must_Plot15_Row7/Vine39_ID129b	15	7	39	46.505425	6.702125
364527_043-LP3-16S-0043	Lavaux_2021-09-30_must_Plot15_Row7/Vine39_ID129c	15	7	39	46.505425	6.702125
364527_128-LP3-16S-0128	Lavaux_2021-09-30_must_Plot15_Row8/Vine10_ID130	15	8	10	46.505286	6.701887
364527_143-LP3-16S-0143	Lavaux_2021-09-30_must_Plot15_Row8/Vine29_ID131a	15	8	29	46.505373	6.702016
364527_029-LP3-16S-0029	Lavaux_2021-09-30_must_Plot15_Row8/Vine29_ID131c	15	8	29	46.505373	6.702016
364527_115-LP3-16S-0115	Lavaux_2021-09-30_must_Plot15_Row9/Vine20_ID132	15	9	20	46.505347	6.701951
364527_088-LP3-16S-0088	Lavaux_2021-09-30_must_Plot15_Row10/Vine10_ID133	15	10	10	46.505305	6.701857
364527_093-LP3-16S-0093	Lavaux_2021-09-30_must_Plot15_Row10/Vine30_ID134	15	10	30	46.505423	6.702038
364527_015-LP3-16S-0015	Lavaux_2021-09-30_must_Plot15_Row11/Vine20_ID135	15	11	20	46.505361	6.701916
364527_192-LP3-16S-0192	Lavaux_2021-09-30_must_Plot15_Row11/Vine38_ID136	15	11	38	46.505457	6.702059
364527_025-LP3-16S-0025	Lavaux_2021-09-30_must_Plot15_Row12/Vine9_ID137	15	12	9	46.505316	6.701829
364527_046-LP3-16S-0046	Lavaux_2021-09-30_must_Plot15_Row12/Vine30_ID138	15	12	30	46.505425	6.701988
364527_022-LP3-16S-0022	Lavaux_2021-09-30_must_Plot15_Row13/Vine20_ID139	15	13	20	46.505377	6.701887
364527_074-LP3-16S-0074	Lavaux_2021-09-30_must_Plot15_Row13/Vine39_ID140	15	13	39	46.505468	6.702017
364527_119-LP3-16S-0119	Lavaux_2021-09-30_must_Plot15_Row14/Vine10_ID141	15	14	10	46.505327	6.701793
364527_056-LP3-16S-0056	Lavaux_2021-09-30_must_Plot15_Row14/Vine31_ID142	15	14	31	46.505431	6.701942
364527_098-LP3-16S-0098	Lavaux_2021-09-30_must_Plot15_Row15/Vine20_ID143	15	15	20	46.505411	6.701888
364527_121-LP3-16S-0121	Lavaux_2021-09-30_must_Plot17_Row2/Vine5_ID144	17	2	5	46.487564	6.721035
364527_281-LP3-16S-0281	Lavaux_2021-09-30_must_Plot17_Row3/Vine10_ID145	17	3	10	46.487586	6.720968
364527_265-LP3-16S-0265	Lavaux_2021-09-30_must_Plot17_Row3/Vine15_ID146	17	3	15	46.487607	6.720914
364527_087-LP3-16S-0087	Lavaux_2021-09-30_must_Plot17_Row3/Vine25_ID147	17	3	25	46.487624	6.720855
364527_234-LP3-16S-0234	Lavaux_2021-09-30_must_Plot17_Row4/Vine5_ID148	17	4	5	46.487565	6.721038
364527_105-LP3-16S-0105	Lavaux_2021-09-30_must_Plot17_Row4/Vine15_ID149	17	4	15	46.487611	6.720923
364527_274-LP3-16S-0274	Lavaux_2021-09-30_must_Plot17_Row4/Vine25_ID150	17	4	25	46.487651	6.720788
364527_031-LP3-16S-0031	Lavaux_2021-09-30_must_Plot17_Row4/Vine35_ID151	17	4	35	46.487697	6.720665
364527_203-LP3-16S-0203	Lavaux_2021-09-30_must_Plot17_Row5/Vine10_ID152	17	5	10	46.487621	6.72097
364527_170-LP3-16S-0170	Lavaux_2021-09-30_must_Plot17_Row5/Vine20_ID153	17	5	20	46.487655	6.720865
364527_184-LP3-16S-0184	Lavaux_2021-09-30_must_Plot17_Row5/Vine40_ID155	17	5	40	46.487717	6.720661
364527_201-LP3-16S-0201	Lavaux_2021-09-30_must_Plot17_Row5/Vine45_ID156	17	5	45	46.487742	6.720649
364528_327-LP3-16S-0903	Lavaux_2021-09-30_must_Plot17_Row6/Vine10_ID157	17	6	10	46.487614	6.721037
364527_123-LP3-16S-0123	Lavaux_2021-09-30_must_Plot17_Row6/Vine30_ID158a	17	6	30	46.487675	6.72085
364527_023-LP3-16S-0023	Lavaux_2021-09-30_must_Plot17_Row6/Vine30_ID158b	17	6	30	46.487675	6.72085
364528_321-LP3-16S-0897	Lavaux_2021-09-30_must_Plot17_Row7/Vine21_ID159	17	7	21	46.487663	6.720932
364527_077-LP3-16S-0077	Lavaux_2021-09-30_must_Plot17_Row7/Vine40_ID160	17	7	40	46.48772	6.720742
364527_063-LP3-16S-0063	Lavaux_2021-09-30_must_Plot17_Row8/Vine10_ID161	17	8	10	46.487661	6.721041
364527_193-LP3-16S-0193	Lavaux_2021-09-30_must_Plot17_Row8/Vine32_ID162	17	8	32	46.487723	6.720829
364527_126-LP3-16S-0126	Lavaux_2021-09-30_must_Plot17_Row9/Vine20_ID163	17	9	20	46.487706	6.720949
364527_152-LP3-16S-0152	Lavaux_2021-09-30_must_Plot17_Row9/Vine40_ID164	17	9	40	46.487768	6.720767
364527_180-LP3-16S-0180	Lavaux_2021-09-30_must_Plot17_Row10/Vine10_ID165	17	10	10	46.487694	6.721063
364527_195-LP3-16S-0195	Lavaux_2021-09-30_must_Plot17_Row10/Vine30_ID166	17	10	30	46.487781	6.720779
364527_183-LP3-16S-0183	Lavaux_2021-09-30_must_Plot17_Row11/Vine20_ID167	17	11	20	46.487746	6.720918
364527_135-LP3-16S-0135	Lavaux_2021-09-30_must_Plot17_Row11/Vine40_ID168	17	11	40	46.487803	6.72074
364527_266-LP3-16S-0266	Lavaux_2021-09-30_must_Plot17_Row12/Vine10_ID169	17	12	10	46.487722	6.721075
364527_030-LP3-16S-0030	Lavaux_2021-09-30_must_Plot17_Row12/Vine30_ID170	17	12	30	46.487781	6.720862
364527_003-LP3-16S-0003	Lavaux_2021-09-30_must_Plot17_Row13/Vine20_ID171	17	13	20	46.487757	6.72099
364527_099-LP3-16S-0099	Lavaux_2021-09-30_must_Plot17_Row13/Vine40_ID172	17	13	40	46.487826	6.720788
364527_113-LP3-16S-0113	Lavaux_2021-09-30_must_Plot17_Row14/Vine10_ID173	17	14	10	46.487744	6.721095
364527_191-LP3-16S-0191	Lavaux_2021-09-30_must_Plot17_Row14/Vine30_ID174	17	14	30	46.487809	6.720894
364527_064-LP3-16S-0064	Lavaux_2021-09-30_must_Plot17_Row15/Vine21_ID175	17	15	21	46.487793	6.721004
364527_226-LP3-16S-0226	Lavaux_2021-09-30_must_Plot17_Row15/Vine40_ID176	17	15	40	46.487853	6.720786
364527_202-LP3-16S-0202	Lavaux_2021-09-30_must_Plot17_Row16/Vine10_ID177	17	16	10	46.487764	6.721124
364527_156-LP3-16S-0156	Lavaux_2021-09-30_must_Plot17_Row16/Vine30_ID178	17	16	30	46.487834	6.720893
364528_325-LP3-16S-0901	Lavaux_2021-09-30_must_Plot17_Row17/Vine20_ID179	17	17	20	46.487802	6.721024
364527_042-LP3-16S-0042	Lavaux_2021-09-30_must_Plot17_Row17/Vine40_ID180	17	17	40	46.487869	6.7208
364527_097-LP3-16S-0097	Lavaux_2021-09-30_must_Plot17_Row18/Vine20_ID182	17	18	20	46.487813	6.721031
364527_140-LP3-16S-0140	Lavaux_2021-09-30_must_Plot17_Row18/Vine30_ID183	17	18	30	46.487852	6.720915
364528_323-LP3-16S-0899	Lavaux_2021-09-30_must_Plot17_Row18/Vine40_ID184	17	18	40	46.487883	6.720799
364528_337-LP3-16S-0913	Lavaux_2021-09-30_must_Plot18_Row2/Vine7_ID185	18	2	7	46.49395	6.713039
