id	SAMPLE_NAME	plot	row	vine	Lat	Long
364525_180-LP3-ITS-0180	Lavaux_2021-09-30_must_Plot17_Row10/Vine10_ID165	17	10	10	46.487694	6.721063
364525_195-LP3-ITS-0195	Lavaux_2021-09-30_must_Plot17_Row10/Vine30_ID166	17	10	30	46.487781	6.720779
364525_183-LP3-ITS-0183	Lavaux_2021-09-30_must_Plot17_Row11/Vine20_ID167	17	11	20	46.487746	6.720918
364525_135-LP3-ITS-0135	Lavaux_2021-09-30_must_Plot17_Row11/Vine40_ID168	17	11	40	46.487803	6.72074
364525_266-LP3-ITS-0266	Lavaux_2021-09-30_must_Plot17_Row12/Vine10_ID169	17	12	10	46.487722	6.721075
364525_030-LP3-ITS-0030	Lavaux_2021-09-30_must_Plot17_Row12/Vine30_ID170	17	12	30	46.487781	6.720862
364525_003-LP3-ITS-0003	Lavaux_2021-09-30_must_Plot17_Row13/Vine20_ID171	17	13	20	46.487757	6.72099
364525_099-LP3-ITS-0099	Lavaux_2021-09-30_must_Plot17_Row13/Vine40_ID172	17	13	40	46.487826	6.720788
364525_113-LP3-ITS-0113	Lavaux_2021-09-30_must_Plot17_Row14/Vine10_ID173	17	14	10	46.487744	6.721095
364525_191-LP3-ITS-0191	Lavaux_2021-09-30_must_Plot17_Row14/Vine30_ID174	17	14	30	46.487809	6.720894
364525_064-LP3-ITS-0064	Lavaux_2021-09-30_must_Plot17_Row15/Vine21_ID175	17	15	21	46.487793	6.721004
364525_226-LP3-ITS-0226	Lavaux_2021-09-30_must_Plot17_Row15/Vine40_ID176	17	15	40	46.487853	6.720786
364525_202-LP3-ITS-0202	Lavaux_2021-09-30_must_Plot17_Row16/Vine10_ID177	17	16	10	46.487764	6.721124
364525_156-LP3-ITS-0156	Lavaux_2021-09-30_must_Plot17_Row16/Vine30_ID178	17	16	30	46.487834	6.720893
364526_325-LP3-ITS-0901	Lavaux_2021-09-30_must_Plot17_Row17/Vine20_ID179	17	17	20	46.487802	6.721024
364525_042-LP3-ITS-0042	Lavaux_2021-09-30_must_Plot17_Row17/Vine40_ID180	17	17	40	46.487869	6.7208
364525_097-LP3-ITS-0097	Lavaux_2021-09-30_must_Plot17_Row18/Vine20_ID182	17	18	20	46.487813	6.721031
364525_140-LP3-ITS-0140	Lavaux_2021-09-30_must_Plot17_Row18/Vine30_ID183	17	18	30	46.487852	6.720915
364526_323-LP3-ITS-0899	Lavaux_2021-09-30_must_Plot17_Row18/Vine40_ID184	17	18	40	46.487883	6.720799
364526_337-LP3-ITS-0913	Lavaux_2021-09-30_must_Plot18_Row2/Vine7_ID185	18	2	7	46.49395	6.713039
364525_096-LP3-ITS-0096	Lavaux_2021-09-30_must_Plot18_Row3/Vine14_ID186	18	3	14	46.494002	6.713009
364525_090-LP3-ITS-0090	Lavaux_2021-09-30_must_Plot18_Row4/Vine8_ID187	18	4	8	46.493973	6.713062
364525_181-LP3-ITS-0181	Lavaux_2021-09-30_must_Plot18_Row5/Vine14_ID188	18	5	14	46.494017	6.713037
364525_078-LP3-ITS-0078	Lavaux_2021-09-30_must_Plot18_Row6/Vine7_ID189	18	6	7	46.493982	6.713093
364525_187-LP3-ITS-0187	Lavaux_2021-09-30_must_Plot18_Row7/Vine14_ID190	18	7	14	46.49403	6.713063
364526_328-LP3-ITS-0904	Lavaux_2021-09-30_must_Plot18_Row8/Vine7_ID191	18	8	7	46.494003	6.713115
364525_081-LP3-ITS-0081	Lavaux_2021-09-30_must_Plot18_Row9/Vine14_ID192	18	9	14	46.494051	6.713084
364525_188-LP3-ITS-0188	Lavaux_2021-09-30_must_Plot18_Row10/Vine7_ID193	18	10	7	46.494016	6.713148
364525_086-LP3-ITS-0086	Lavaux_2021-09-30_must_Plot18_Row11/Vine14_ID194	18	11	14	46.494079	6.713138
364525_149-LP3-ITS-0149	Lavaux_2021-09-30_must_Plot19_Row2/Vine5_ID195	19	2	5	46.495252	6.716084
364525_173-LP3-ITS-0173	Lavaux_2021-09-30_must_Plot19_Row3/Vine10_ID196	19	3	10	46.495233	6.716145
364526_335-LP3-ITS-0911	Lavaux_2021-09-30_must_Plot19_Row4/Vine5_ID197	19	4	5	46.495258	6.716093
364525_013-LP3-ITS-0013	Lavaux_2021-09-30_must_Plot19_Row4/Vine11_ID198	19	4	11	46.495243	6.716154
364526_322-LP3-ITS-0898	Lavaux_2021-09-30_must_Plot20_Row2/Vine11_ID199	20	2	11	46.493102	6.72101
364525_091-LP3-ITS-0091	Lavaux_2021-09-30_must_Plot20_Row2/Vine30_ID200b	20	2	30	46.493074	6.720806
364525_190-LP3-ITS-0190	Lavaux_2021-09-30_must_Plot20_Row3/Vine20_ID201	20	3	20	46.493099	6.720902
364525_053-LP3-ITS-0053	Lavaux_2021-09-30_must_Plot20_Row4/Vine10_ID202	20	4	10	46.493123	6.720973
364525_011-LP3-ITS-0011	Lavaux_2021-09-30_must_Plot20_Row4/Vine30_ID203	20	4	30	46.493098	6.720806
364525_083-LP3-ITS-0083	Lavaux_2021-09-30_must_Plot20_Row5/Vine20_ID204	20	5	20	46.493125	6.720916
364526_319-LP3-ITS-0895	Lavaux_2021-09-30_must_Plot20_Row6/Vine10_ID205	20	6	10	46.49315	6.720971
364526_334-LP3-ITS-0910	Lavaux_2021-09-30_must_Plot20_Row6/Vine30_ID206	20	6	30	46.493125	6.72079
364526_338-LP3-ITS-0914	Lavaux_2021-09-30_must_Plot20_Row7/Vine20_ID207	20	7	20	46.493152	6.720897
364525_040-LP3-ITS-0040	Lavaux_2021-09-30_must_Plot20_Row8/Vine11_ID208	20	8	11	46.493178	6.720956
364525_021-LP3-ITS-0021	Lavaux_2021-09-30_must_Plot20_Row8/Vine30_ID209	20	8	30	46.49315	6.72077
364525_085-LP3-ITS-0085	Lavaux_2021-09-30_must_Plot20_Row9/Vine20_ID210	20	9	20	46.493174	6.720885
364525_007-LP3-ITS-0007	Lavaux_2021-09-30_must_Plot20_Row10/Vine10_ID211	20	10	10	46.493201	6.720937
364525_147-LP3-ITS-0147	Lavaux_2021-09-30_must_Plot20_Row10/Vine30_ID212	20	10	30	46.493179	6.720769
364525_010-LP3-ITS-0010	Lavaux_2021-09-30_must_Plot20_Row11/Vine20_ID213	20	11	20	46.493203	6.72088
364525_055-LP3-ITS-0055	Lavaux_2021-09-30_must_Plot20_Row12/Vine11_ID214	20	12	11	46.493226	6.720919
364525_045-LP3-ITS-0045	Lavaux_2021-09-30_must_Plot20_Row13/Vine20_ID215	20	13	20	46.49323	6.720869
364526_331-LP3-ITS-0907	Lavaux_2021-09-30_must_Plot20_Row14/Vine10_ID216	20	14	10	46.493247	6.720907
364525_104-LP3-ITS-0104	Lavaux_2021-09-30_must_Plot20_Row15/Vine5_ID217	20	15	5	46.493265	6.720932
364525_102-LP3-ITS-0102	Lavaux_2021-09-30_must_Plot20_Row16/Vine10_ID218	20	16	10	46.493253	6.720882
364526_324-LP3-ITS-0900	Lavaux_2021-09-30_must_Plot20_Row16/Vine20_ID219	20	16	20	46.493239	6.720833
364525_273-LP3-ITS-0273	Lavaux_2021-09-30_must_Plot5_Row6/Vine30_ID37	5	6	30	46.495709	6.708961
