id	SAMPLE_NAME	sample_type	Plot_ID	COLLECTION_DATE	Year	Year_Cat	Plot_x	Altitude	Average_slope	Exposition	Min_radiation	Max_radiation	Average_radiation	Soil_thickness	Soil_type	Soil_depth	Hydromorphie	Hydromorphie_code	Geology	pH	Date measurement	Plot_y	Gravel_Percentage	Gravel_Estimate	Organic_Matter	C_total	Clay_Percentage	Silt_Percentage	Sand_Percentage	N_total	CN_ratio
364527_290-LP3-16S-0290	Lavaux_2022-08-10_soil_Plot5	soil	Lavaux_Plot_5	10.08.2022	2022	Year2022	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	7.57	21-11-2023	Plot_5	>30%	high	1.6	2.76	29.5	38.5	32.1	0.11	8.7
364527_302-LP3-16S-0302	Lavaux_2022-08-10_soil_Plot9	soil	Lavaux_Plot_9	10.08.2022	2022	Year2022	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	7.55	21-11-2023	Plot_9	>30%	high	1.7	2.9325	22.9	42.4	34.7	0.11	9.5
364527_291-LP3-16S-0291	Lavaux_2022-08-10_soil_Plot11	soil	Lavaux_Plot_11	10.08.2022	2022	Year2022	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	7.51	21-11-2023										
364527_298-LP3-16S-0298	Lavaux_2022-08-10_soil_Plot12	soil	Lavaux_Plot_12	10.08.2022	2022	Year2022	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	7.39	21-11-2023	Plot_12	>30%	high	3.1	5.3475	34.0	41.3	24.7	0.18	10.0
364527_292-LP3-16S-0292	Lavaux_2022-08-10_soil_Plot13	soil	Lavaux_Plot_13	10.08.2022	2022	Year2022	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	7.46	21-11-2023	Plot_13	>30%	high	1.7	2.9325	37.1	38.8	24.2	0.12	8.5
364527_293-LP3-16S-0293	Lavaux_2022-08-10_soil_Plot14	soil	Lavaux_Plot_14	10.08.2022	2022	Year2022	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	7.5	21-11-2023	Plot_14	>30%	high	3.0	5.175	23.4	43.6	33.0	0.18	9.9
364527_295-LP3-16S-0295	Lavaux_2022-08-10_soil_Plot15	soil	Lavaux_Plot_15	10.08.2022	2022	Year2022	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	7.59	21-11-2023	Plot_15	>30%	high	2.6	4.485	25.6	30.6	43.8	0.16	9.2
364527_297-LP3-16S-0297	Lavaux_2022-08-10_soil_Plot19	soil	Lavaux_Plot_19	10.08.2022	2022	Year2022	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	7.54	21-11-2023	Plot_19	>30%	high	3.7	6.3825	22.3	41.5	36.2	0.2	10.4
364527_294-LP3-16S-0294	Lavaux_2022-08-10_soil_Plot20	soil	Lavaux_Plot_20	10.08.2022	2022	Year2022	20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	7.58	21-11-2023	Plot_20	10-30%	medium	1.12	1.932	21.9	55.9	22.3	0.12	9.0
364527_289-LP3-16S-0289	Lavaux_2022-08-10_soil_Plot17	soil	Lavaux_Plot_17	10.08.2022	2022	Year2022	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	7.55	21-11-2023	Plot_17	<10%	high	1.6	2.76	34.7	48.7	16.7	0.12	7.9
364528_023-LP3-16S-0599	Lavaux_2023-05-10_soil_Plot4	soil	Lavaux_Plot_4	10.05.2023	2023	Year2023	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	7.43	08-12-2023	Plot_4	>30%	high	1.9	3.2775	32.9	41.1	26.0	0.13	8.3
364528_017-LP3-16S-0593	Lavaux_2023-05-10_soil_Plot5	soil	Lavaux_Plot_5	10.05.2023	2023	Year2023	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	7.49	01-12-2023	Plot_5	>30%	high	1.6	2.76	29.5	38.5	32.1	0.11	8.7
364528_019-LP3-16S-0595	Lavaux_2023-05-10_soil_Plot9	soil	Lavaux_Plot_9	10.05.2023	2023	Year2023	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	7.47	08-12-2023	Plot_9	>30%	high	1.7	2.9325	22.9	42.4	34.7	0.11	9.5
364528_024-LP3-16S-0600	Lavaux_2023-05-10_soil_Plot12	soil	Lavaux_Plot_12	10.05.2023	2023	Year2023	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	7.45	01-12-2023	Plot_12	>30%	high	3.1	5.3475	34.0	41.3	24.7	0.18	10.0
364528_021-LP3-16S-0597	Lavaux_2023-05-10_soil_Plot13	soil	Lavaux_Plot_13	10.05.2023	2023	Year2023	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	7.41	01-12-2023	Plot_13	>30%	high	1.7	2.9325	37.1	38.8	24.2	0.12	8.5
364528_022-LP3-16S-0598	Lavaux_2023-05-10_soil_Plot14	soil	Lavaux_Plot_14	10.05.2023	2023	Year2023	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	7.53	01-12-2023	Plot_14	>30%	high	3.0	5.175	23.4	43.6	33.0	0.18	9.9
364528_018-LP3-16S-0594	Lavaux_2023-05-10_soil_Plot15	soil	Lavaux_Plot_15	10.05.2023	2023	Year2023	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	7.37	08-12-2023	Plot_15	>30%	high	2.6	4.485	25.6	30.6	43.8	0.16	9.2
364528_020-LP3-16S-0596	Lavaux_2023-05-10_soil_Plot19	soil	Lavaux_Plot_19	10.05.2023	2023	Year2023	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	7.43	01-12-2023	Plot_19	>30%	high	3.7	6.3825	22.3	41.5	36.2	0.2	10.4
364528_026-LP3-16S-0602	Lavaux_2023-05-10_soil_Plot20	soil	Lavaux_Plot_20	10.05.2023	2023	Year2023	20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	7.43	01-12-2023	Plot_20	10-30%	medium	1.12	1.932	21.9	55.9	22.3	0.12	9.0
364528_025-LP3-16S-0601	Lavaux_2023-05-10_soil_Plot17	soil	Lavaux_Plot_17	10.05.2023	2023	Year2023	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	7.5	01-12-2023	Plot_17	<10%	high	1.6	2.76	34.7	48.7	16.7	0.12	7.9
364528_030-LP3-16S-0606	Lavaux_2023-08-24_soil_Plot4	soil	Lavaux_Plot_4	24.08.2023	2023	Year2023	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	7.6	08-12-2023	Plot_4	>30%	high	1.9	3.2775	32.9	41.1	26.0	0.13	8.3
364528_104-LP3-16S-0680	Lavaux_2023-08-24_soil_Plot5	soil	Lavaux_Plot_5	24.08.2023	2023	Year2023	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	7.63	08-12-2023	Plot_5	>30%	high	1.6	2.76	29.5	38.5	32.1	0.11	8.7
364528_111-LP3-16S-0687	Lavaux_2023-08-24_soil_Plot9	soil	Lavaux_Plot_9	24.08.2023	2023	Year2023	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	7.68	08-12-2023	Plot_9	>30%	high	1.7	2.9325	22.9	42.4	34.7	0.11	9.5
364528_027-LP3-16S-0603	Lavaux_2023-08-24_soil_Plot12	soil	Lavaux_Plot_12	24.08.2023	2023	Year2023	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	7.56	08-12-2023	Plot_12	>30%	high	3.1	5.3475	34.0	41.3	24.7	0.18	10.0
364528_110-LP3-16S-0686	Lavaux_2023-08-24_soil_Plot13	soil	Lavaux_Plot_13	24.08.2023	2023	Year2023	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	7.63	08-12-2023	Plot_13	>30%	high	1.7	2.9325	37.1	38.8	24.2	0.12	8.5
364528_028-LP3-16S-0604	Lavaux_2023-08-24_soil_Plot14	soil	Lavaux_Plot_14	24.08.2023	2023	Year2023	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	7.64	08-12-2023	Plot_14	>30%	high	3.0	5.175	23.4	43.6	33.0	0.18	9.9
364528_031-LP3-16S-0607	Lavaux_2023-08-24_soil_Plot15	soil	Lavaux_Plot_15	24.08.2023	2023	Year2023	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	7.51	08-12-2023	Plot_15	>30%	high	2.6	4.485	25.6	30.6	43.8	0.16	9.2
364528_036-LP3-16S-0612	Lavaux_2023-08-24_soil_Plot19	soil	Lavaux_Plot_19	24.08.2023	2023	Year2023	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	7.59	08-12-2023	Plot_19	>30%	high	3.7	6.3825	22.3	41.5	36.2	0.2	10.4
364528_112-LP3-16S-0688	Lavaux_2023-08-24_soil_Plot20	soil	Lavaux_Plot_20	24.08.2023	2023	Year2023	20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	7.54	08-12-2023	Plot_20	10-30%	medium	1.12	1.932	21.9	55.9	22.3	0.12	9.0
364528_034-LP3-16S-0610	Lavaux_2023-08-24_soil_Plot17	soil	Lavaux_Plot_17	24.08.2023	2023	Year2023	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	7.63	08-12-2023	Plot_17	<10%	high	1.6	2.76	34.7	48.7	16.7	0.12	7.9
