id	SAMPLE_NAME	sample_type	Plot_ID	COLLECTION_DATE	Year	Plot	Altitude	Average_slope	Exposition	Min_radiation	Max_radiation	Average_radiation	Soil_thickness	Soil_type	Soil_depth	Hydromorphie	Hydromorphie_code	Geology	Must_Oechsle	Wine_Tartatic_Acid	Wine_Malic_Acid	Wine_Glucose	Wine_Fructose	Wine_Lactic_Acid	Wien_Glycerol	Wine_Acetic_Acid
364526_310-LP3-ITS-0886	Lavaux_2021-08-31_must_Plot9	must	Lavaux_Plot_9	2021-08-31 00:00:00 +0200	2021	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	73.0	2.99	0.07	0.32	0.26	1.51	6.56	0.79
364526_317-LP3-ITS-0893	Lavaux_2021-08-31_must_Plot11	must	Lavaux_Plot_11	2021-08-31 00:00:00 +0200	2021	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	75.0	3.42	0.06	0.33	0.3	1.87	7.13	1.03
364526_316-LP3-ITS-0892	Lavaux_2021-08-31_must_Plot12	must	Lavaux_Plot_12	2021-08-31 00:00:00 +0200	2021	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	73.0	2.89	0.07	0.33	0.29	1.67	6.59	0.6
364526_313-LP3-ITS-0889	Lavaux_2021-08-31_must_Plot13	must	Lavaux_Plot_13	2021-08-31 00:00:00 +0200	2021	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	75.0	2.61	0.09	0.33	0.28	1.53	7.13	0.68
364526_315-LP3-ITS-0891	Lavaux_2021-08-31_must_Plot14	must	Lavaux_Plot_14	2021-08-31 00:00:00 +0200	2021	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	78.0	3.06	0.06	0.34	0.29	1.47	6.9	0.77
364526_312-LP3-ITS-0888	Lavaux_2021-08-31_must_Plot15	must	Lavaux_Plot_15	2021-08-31 00:00:00 +0200	2021	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	73.0	3.43	0.07	0.33	0.3	1.69	6.29	0.75
364526_318-LP3-ITS-0894	Lavaux_2021-08-31_must_Plot18	must	Lavaux_Plot_18	2021-08-31 00:00:00 +0200	2021	18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	69.0	3.1	0.06	0.33	0.27	1.59	7.39	1.19
364526_314-LP3-ITS-0890	Lavaux_2021-08-31_must_Plot19	must	Lavaux_Plot_19	2021-08-31 00:00:00 +0200	2021	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	68.0	3.78	0.06	0.33	0.28	1.58	7.26	1.02
364526_311-LP3-ITS-0887	Lavaux_2021-08-31_must_Plot20	must	Lavaux_Plot_20	2021-08-31 00:00:00 +0200	2021	20	470	20	South	925	950	937.5	calcosol	Calcaire	100-180	no_redox	0	Bottom_moraine	76.0	3.15	0.06	0.32	0.27	1.7	7.12	1.19
364526_307-LP3-ITS-0883	Lavaux_2021-08-31_must_Plot17	must	Lavaux_Plot_17	2021-08-31 00:00:00 +0200	2021	17	390	20	South-West	900	925	912.5	calcosol	Calcaire	40-100	Slightly_redox	1	Molasse	73.0	3.06	0.15	0.42	0.29	1.79	7.24	0.81
364525_027-LP3-ITS-0027	Lavaux_2021-09-30_must_Plot4_Row6/Vine10_ID1	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_048-LP3-ITS-0048	Lavaux_2021-09-30_must_Plot4_Row6/Vine30_ID2	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_166-LP3-ITS-0166	Lavaux_2021-09-30_must_Plot4_Row7/Vine20_ID3	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_019-LP3-ITS-0019	Lavaux_2021-09-30_must_Plot4_Row8/Vine10_ID4	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_075-LP3-ITS-0075	Lavaux_2021-09-30_must_Plot4_Row8/Vine30_ID5	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_001-LP3-ITS-0001	Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_017-LP3-ITS-0017	Lavaux_2021-09-30_must_Plot4_Row10/Vine10_ID7	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364526_326-LP3-ITS-0902	Lavaux_2021-09-30_must_Plot4_Row10/Vine30_ID8	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_026-LP3-ITS-0026	Lavaux_2021-09-30_must_Plot4_Row11/Vine20_ID9	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_172-LP3-ITS-0172	Lavaux_2021-09-30_must_Plot4_Row12/Vine10_ID10	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_247-LP3-ITS-0247	Lavaux_2021-09-30_must_Plot4_Row12/Vine30_ID11	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_165-LP3-ITS-0165	Lavaux_2021-09-30_must_Plot4_Row13/Vine20_ID12	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_068-LP3-ITS-0068	Lavaux_2021-09-30_must_Plot4_Row14/Vine10_ID13	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_144-LP3-ITS-0144	Lavaux_2021-09-30_must_Plot4_Row14/Vine30_ID14	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_174-LP3-ITS-0174	Lavaux_2021-09-30_must_Plot4_Row15/Vine20_ID15	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_057-LP3-ITS-0057	Lavaux_2021-09-30_must_Plot4_Row16/Vine10_ID16	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_034-LP3-ITS-0034	Lavaux_2021-09-30_must_Plot4_Row16/Vine30_ID17	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_155-LP3-ITS-0155	Lavaux_2021-09-30_must_Plot4_Row17/Vine20_ID18	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_139-LP3-ITS-0139	Lavaux_2021-09-30_must_Plot4_Row18/Vine10_ID19	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364526_332-LP3-ITS-0908	Lavaux_2021-09-30_must_Plot4_Row18/Vine30_ID20	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_210-LP3-ITS-0210	Lavaux_2021-09-30_must_Plot4_Row19/Vine20_ID21	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_159-LP3-ITS-0159	Lavaux_2021-09-30_must_Plot4_Row20/Vine10_ID22	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_018-LP3-ITS-0018	Lavaux_2021-09-30_must_Plot4_Row20/Vine30_ID23	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_058-LP3-ITS-0058	Lavaux_2021-09-30_must_Plot4_Row21/Vine20_ID24	must	Lavaux_Plot_4	2021-09-30 00:00:00 +0200	2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	73.0	3.38	0.09	0.35	0.31	1.77	7.84	0.86
364525_067-LP3-ITS-0067	Lavaux_2021-09-30_must_Plot5_Row2/Vine10_ID25	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_008-LP3-ITS-0008	Lavaux_2021-09-30_must_Plot5_Row2/Vine30_ID26	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_153-LP3-ITS-0153	Lavaux_2021-09-30_must_Plot5_Row2/Vine50_ID27	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_131-LP3-ITS-0131	Lavaux_2021-09-30_must_Plot5_Row3/Vine20_ID28	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_033-LP3-ITS-0033	Lavaux_2021-09-30_must_Plot5_Row3/Vine40_ID29	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_038-LP3-ITS-0038	Lavaux_2021-09-30_must_Plot5_Row4/Vine10_ID30	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_134-LP3-ITS-0134	Lavaux_2021-09-30_must_Plot5_Row4/Vine31_ID31	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_037-LP3-ITS-0037	Lavaux_2021-09-30_must_Plot5_Row4/Vine50_ID32	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_054-LP3-ITS-0054	Lavaux_2021-09-30_must_Plot5_Row5/Vine20_ID33	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_059-LP3-ITS-0059	Lavaux_2021-09-30_must_Plot5_Row5/Vine41_ID34	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
364525_250-LP3-ITS-0250	Lavaux_2021-09-30_must_Plot5_Row6/Vine12_ID35	must	Lavaux_Plot_5	2021-09-30 00:00:00 +0200	2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	75.0	2.9	0.06	0.34	0.3	1.62	7.45	0.63
