SAMPLE_NAME,Frequency
Grenchen_2023-08-23_1C,12470.0
Sav_3_17-08-2023_soil,12214.0
MV_Must_Plot12_2022-09-13,11952.0
Lavaux_2021-08-31_soil_Plot17,11854.0
Grenchen_2022-07-02_2C,11423.0
Lavaux_2022-08-10_bark_Plot19,11128.0
22DL04M_5657_lees,10965.0
Mart_6_17-08-2023_soil,10720.0
Lavaux_2021-09-30_must_Plot20_Row11/Vine20_ID213,10608.0
MV_Must_Plot4_2022-09-13,10439.0
DNA49_PosCtrl,10215.0
Erlenbach_2022-10-20_2,9977.0
Sav_1_17-08-2023_soil,9951.0
Lavaux_2023-08-24_soil_Plot15,9945.0
MV_Must_Plot13_2022-09-13,9521.0
Leytron_Agroscope3_17-08-2023_soil,8776.0
Lavaux_2021-08-31_bark_Plot18,8723.0
Lavaux_2022-08-10_bark_Plot9,8241.0
MV_Must_Plot19_2023-09-23,8239.0
Erlenbach_2023-06-20_2,8024.0
DNA12_PosCtrl,7972.0
DNA39_PosCtrl,7940.0
Lavaux_2021-08-31_soil_Plot18,7898.0
Lavaux_2023-08-24_soil_Plot12,7773.0
Lavaux_2022-03-08_soil_Plot5,7586.0
MV_Post-AF_Plot4_2022-09-30,7477.0
MV_Post-MLF_Plot4_2023-12-11,7440.0
Valais_75,7289.0
Lavaux_2022-03-08_soil_Plot18,6963.0
Grenchen_2022-10-20_1C,6768.0
Lavaux_2021-08-31_soil_Plot4,6498.0
Lavaux_2022-03-08_soil_Plot9,6438.0
Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6,6335.0
Lavaux_2021-08-31_soil_Plot9,6335.0
Lavaux_2021-08-31_soil_Plot14,6311.0
Lavaux_2021-09-30_must_Plot18_Row5/Vine14_ID188,6071.0
Grenchen_2022-07-02_2B,5958.0
Erlenbach_2022-06-03_1,5645.0
Muraz_1_17-08-2023_soil,5294.0
Grenchen_2022-10-20_2C,5187.0
Valais_26,5157.0
Erlenbach_2022-06-30_1,5047.0
Valais_2,4507.0
MV_Post-AF_Plot9_2022-09-30,4486.0
Lavaux_2022-08-10_bark_Plot14,4461.0
Lavaux_2023-05-10_soil_Plot12,4353.0
Grenchen_2023-10-10_2A,4317.0
Valais_78,4194.0
Lavaux_2021-09-30_must_Plot9_Row9/Vine40_ID51,4071.0
Valais_7,4067.0
Lavaux_2023-09-20_must_Plot13_RepC,4030.0
Erlenbach_2023-10-10_4,3782.0
MV_Post-AF_Plot20_2022-09-30,3749.0
Erlenbach_2023-10-10_1,3602.0
Lavaux_2021-09-30_must_Plot20_Row5/Vine20_ID204,3581.0
Leuk_1_17-08-2023_soil,3566.0
Lavaux_2023-05-10_soil_Plot14,3395.0
Erlenbach_2023-06-20_6,3265.0
Lavaux_2021-09-30_must_Plot11_Row7/Vine15_ID68,3228.0
Grenchen_2022-10-20_2A,3200.0
Lavaux_2023-05-10_soil_Plot20,3107.0
Valais_4,3016.0
DNA24_posCtrl_2,3001.0
DNA31_NegCtrl,2990.0
MV_Post-AF_Plot13_2023-10-11,2901.0
Erlenbach_2023-10-10_2,2885.0
Lavaux_2023-08-24_soil_Plot20,2880.0
Erlenbach_2023-10-10_6,2675.0
Strickhof_05-09-2023_soil,2674.0
Grenchen_2023-10-10_1A,2619.0
21DL07S_BL30_wine,2519.0
Lavaux_2022-08-10_soil_Plot12,2436.0
Valais_23,2338.0
Valais_98,2319.0
DNA17_PosCtrl,2318.0
Lavaux_2023-08-24_soil_Plot17,2273.0
Lavaux_2021-09-30_must_Plot15_Row4/Vine10_ID122,2266.0
Lavaux_2021-09-30_must_Plot11_Row6/Vine22_ID66,2266.0
DNA40_PosCtrl,2173.0
Valais_25,2131.0
MV_Must_Plot20_2022-09-13,2087.0
Lavaux_2021-09-30_must_Plot5_Row2/Vine30_ID26,2064.0
DNA15_PosCtrl,1992.0
22DL07_5656_lees,1974.0
Erlenbach_2023-10-10_3,1954.0
Lavaux_2023-08-24_soil_Plot14,1942.0
Lavaux_2023-08-24_bark_Plot14,1898.0
Leytron_Agroscope4_17-08-2023_soil,1814.0
Lavaux_2021-09-30_must_Plot18_Row11/Vine14_ID194,1806.0
Lavaux_2023-08-24_soil_Plot13,1794.0
Lavaux_2021-09-30_must_Plot12_Row6/Vine11_ID88,1751.0
Valais_34,1751.0
Lavaux_2021-09-30_must_Plot17_Row11/Vine20_ID167,1712.0
MV_Post-AF_Plot17_2022-09-30,1707.0
Lavaux_2023-09-20_must_Plot13_RepA,1702.0
Lavaux_2021-09-30_must_Plot15_Row11/Vine20_ID135,1672.0
Grenchen_2023-10-10_2C,1612.0
Lavaux_2021-09-30_must_Plot18_Row4/Vine8_ID187,1594.0
Valais_62,1589.0
Lavaux_2021-09-30_must_Plot20_Row4/Vine30_ID203,1572.0
Leytron_Agroscope1_17-08-2023_soil,1557.0
Lavaux_2023-09-20_must_Plot20_RepA,1550.0
Lavaux_2021-09-30_must_Plot20_Row2/Vine30_ID200b,1533.0
MV_Must_Plot15_2022-09-13,1514.0
Erlenbach_2022-08-11_1,1511.0
Erlenbach_2022-10-20_1,1504.0
Lavaux_2021-09-30_must_Plot11_Row3/Vine19_ID59,1489.0
Lavaux_2021-09-30_must_Plot17_Row12/Vine10_ID169,1479.0
Valais_35,1471.0
MV_Must_Plot19_2022-09-13,1462.0
MV_Must_Plot13_2023-09-23,1390.0
Lavaux_2022-08-10_soil_Plot19,1385.0
Lavaux_2023-09-20_must_Plot15_RepC,1382.0
Valais_30,1343.0
Miege_3_30-08-2023_berries,1298.0
21DL02S_1090_lees,1282.0
Fluntern_2023-10-10_1C,1270.0
Lavaux_2023-09-20_must_Plot4_RepD,1224.0
