Name	SAMPLE_NAME	CTRL	Project	DNA_extraction_plate	Plate	Bacterial conc. (ng/uL)
364527_212-LP3-16S-0212	Lavaux_2022-09-09_must_Plot9_RepC	Sample	Lavaux	DNA14	P3	2.7
364527_091-LP3-16S-0091	Lavaux_2021-09-30_must_Plot20_Row2/Vine30_ID200b	Sample	Lavaux	DNA11	P1	6.3
364527_326-LP3-16S-0326	Lavaux_2022-08-10_bark_Plot17	Sample	Lavaux	DNA15	P4	1.6
364527_205-LP3-16S-0205	Lavaux_2022-09-09_must_Plot13_RepD	Sample	Lavaux	DNA14	P3	2.3
364527_084-LP3-16S-0084	Lavaux_2021-09-30_must_Plot9_Row9/Vine20_ID50	Sample	Lavaux	DNA11	P1	6.2
364527_327-LP3-16S-0327	Erlenbach_2022-10-20_2	Sample	SoilColonialization	DNA15	P4	3.3
364527_206-LP3-16S-0206	Lavaux_2022-09-09_must_Plot15_RepE	Sample	Lavaux	DNA14	P3	2.2
364527_085-LP3-16S-0085	Lavaux_2021-09-30_must_Plot20_Row9/Vine20_ID210	Sample	Lavaux	DNA11	P1	5.6
364527_328-LP3-16S-0328	Erlenbach_2022-06-03_1	Sample	SoilColonialization	DNA15	P4	3.5
364527_207-LP3-16S-0207	Lavaux_2022-09-09_must_Plot20_RepA	Sample	Lavaux	DNA14	P3	2.5
364527_086-LP3-16S-0086	Lavaux_2021-09-30_must_Plot18_Row11/Vine14_ID194	Sample	Lavaux	DNA11	P1	4.6
364527_329-LP3-16S-0329	Erlenbach_2022-06-30_3	Sample	SoilColonialization	DNA15	P4	1.6
364527_208-LP3-16S-0208	Lavaux_2022-08-10_must_Plot14	Sample	Lavaux	DNA14	P3	2.5
364527_087-LP3-16S-0087	Lavaux_2021-09-30_must_Plot17_Row3/Vine25_ID147	Sample	Lavaux	DNA11	P1	6.5
364527_213-LP3-16S-0213	Lavaux_2022-09-09_must_Plot13_RepE	Sample	Lavaux	DNA14	P3	2.1
364527_092-LP3-16S-0092	Lavaux_2021-09-30_must_Plot12_Row6/Vine11_ID88	Sample	Lavaux	DNA11	P1	6.4
364527_093-LP3-16S-0093	Lavaux_2021-09-30_must_Plot15_Row10/Vine30_ID134	Sample	Lavaux	DNA11	P1	6.7
364527_334-LP3-16S-0334	Erlenbach_2022-06-03_3	Sample	SoilColonialization	DNA15	P4	1.5
364527_335-LP3-16S-0335	Grenchen_2022-07-02_2B	Sample	SoilColonialization	DNA15	P4	2.8
364527_214-LP3-16S-0214	DNA14_NegCtrl_1	NegCtrl	Lavaux	DNA14	P3	2.3
364527_336-LP3-16S-0336	Erlenbach_2022-06-30_1	Sample	SoilColonialization	DNA15	P4	2.5
364527_215-LP3-16S-0215	Lavaux_2022-09-09_must_Plot20_RepB	Sample	Lavaux	DNA14	P3	2.3
364527_094-LP3-16S-0094	Lavaux_2021-09-30_must_Plot12_Row4/Vine50_ID84	Sample	Lavaux	DNA11	P1	6.1
364527_242-LP3-16S-0242	DO NOT USE (DUPLICATE)	Sample	NOT-USE	DNA14	P3	4.4
364527_121-LP3-16S-0121	Lavaux_2021-09-30_must_Plot17_Row2/Vine5_ID144	Sample	Lavaux	DNA12	P2	3.3
364527_243-LP3-16S-0243	Lavaux_2022-09-09_must_Plot4_RepE	Sample	Lavaux	DNA14	P3	3.0
364527_122-LP3-16S-0122	Lavaux_2021-09-30_must_Plot14_Row5/Vine8_ID105	Sample	Lavaux	DNA12	P2	1.7
364527_001-LP3-16S-0001	Lavaux_2021-09-30_must_Plot4_Row9/Vine20_ID6	Sample	Lavaux	DNA11	P1	4.5
364527_123-LP3-16S-0123	Lavaux_2021-09-30_must_Plot17_Row6/Vine30_ID158a	Sample	Lavaux	DNA12	P2	1.9
364527_002-LP3-16S-0002	Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121b	Sample	Lavaux	DNA11	P1	4.5
364527_003-LP3-16S-0003	Lavaux_2021-09-30_must_Plot17_Row13/Vine20_ID171	Sample	Lavaux	DNA11	P1	3.7
364527_238-LP3-16S-0238	Lavaux_2022-09-09_must_Plot17_RepC	Sample	Lavaux	DNA14	P3	1.5
364527_117-LP3-16S-0117	DNA12_PosCtrl	PosCtrl	Lavaux	DNA12	P2	5.4
364527_239-LP3-16S-0239	Lavaux_2022-09-09_must_Plot20_RepE	Sample	Lavaux	DNA14	P3	1.6
364527_118-LP3-16S-0118	Lavaux_2021-09-30_must_Plot12_Row2/Vine30_ID77	Sample	Lavaux	DNA12	P2	2.8
364527_240-LP3-16S-0240	DNA14_NegCtrl_2	NegCtrl	Lavaux	DNA14	P3	1.4
364527_119-LP3-16S-0119	Lavaux_2021-09-30_must_Plot15_Row14/Vine10_ID141	Sample	Lavaux	DNA12	P2	2.1
364527_241-LP3-16S-0241	Lavaux_2021-09-30_must_Plot13_Row5/Vine31_ID101	Sample	Lavaux	DNA14	P3	3.8
364527_120-LP3-16S-0120	Lavaux_2021-09-30_must_Plot14_Row6/Vine4_ID106	Sample	Lavaux	DNA12	P2	1.9
364527_245-LP3-16S-0245	Lavaux_2022-09-09_must_Plot14_RepD	Sample	Lavaux	DNA14	P3	4.4
364527_124-LP3-16S-0124	Lavaux_2021-09-30_must_Plot15_Row7/Vine20_ID128b	Sample	Lavaux	DNA12	P2	1.7
364527_246-LP3-16S-0246	Lavaux_2022-09-09_must_Plot17_RepD	Sample	Lavaux	DNA14	P3	2.6
364527_125-LP3-16S-0125	Lavaux_2021-09-30_must_Plot15_Row3/Vine20_ID121a	Sample	Lavaux	DNA12	P2	1.8
364527_004-LP3-16S-0004	Lavaux_2021-09-30_must_Plot5_Row6/Vine30_ID37b	Sample	Lavaux	DNA11	P1	5.0
364527_247-LP3-16S-0247	Lavaux_2021-09-30_must_Plot4_Row12/Vine30_ID11	Sample	Lavaux	DNA14	P3	2.7
364527_126-LP3-16S-0126	Lavaux_2021-09-30_must_Plot17_Row9/Vine20_ID163	Sample	Lavaux	DNA12	P2	3.9
364527_005-LP3-16S-0005	Lavaux_2021-09-30_must_Plot11_Row6/Vine22_ID66	Sample	Lavaux	DNA11	P1	5.0
364527_248-LP3-16S-0248	Lavaux_2022-08-10_must_Plot19	Sample	Lavaux	DNA14	P3	2.8
