id	SAMPLE_NAME	sample_type	Plot_ID	COLLECTION_DATE	Year	Year_Cat	Plot_x	Altitude	Average_slope	Exposition	Min_radiation	Max_radiation	Average_radiation	Soil_thickness	Soil_type	Soil_depth	Hydromorphie	Hydromorphie_code	Geology	Quadrant	Cluster	Plot_PCA_kMeans_Cluster	Plot_y	Gravel_Percentage	Gravel_Estimate	Organic_Matter	C_total	Clay_Percentage	Silt_Percentage	Sand_Percentage	N_total	CN_ratio	pH	Date measurement
364525_321-LP3-ITS-0321	Lavaux_2021-08-31_soil_Plot4	soil	Lavaux_Plot_4	2021-08-31 00:00:00 +0200	2021	Year2021	4	450	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	Plot_4	>30%	high	1.9	3.2775	32.9	41.1	26.0	0.13	8.3	7.55	05-12-2023
364526_259-LP3-ITS-0835	Lavaux_2021-08-31_soil_Plot5	soil	Lavaux_Plot_5	2021-08-31 00:00:00 +0200	2021	Year2021	5	400	30	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	SW	Cluster3	Cluster3	Plot_5	>30%	high	1.6	2.76	29.5	38.5	32.1	0.11	8.7	7.53	05-12-2023
364525_322-LP3-ITS-0322	Lavaux_2021-08-31_soil_Plot9	soil	Lavaux_Plot_9	2021-08-31 00:00:00 +0200	2021	Year2021	9	520	35	South-West	875	900	887.5	calcosol	Calcaire	100-180	no_redox	0	Molasse	NE	Cluster3	Cluster2	Plot_9	>30%	high	1.7	2.9325	22.9	42.4	34.7	0.11	9.5	7.55	05-12-2023
364525_324-LP3-ITS-0324	Lavaux_2021-08-31_soil_Plot11	soil	Lavaux_Plot_11	2021-08-31 00:00:00 +0200	2021	Year2021	11	490	20	South	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Gravel_moraine	NW	Cluster3	Cluster1											7.47	05-12-2023
364525_381-LP3-ITS-0381	Lavaux_2021-08-31_soil_Plot12	soil	Lavaux_Plot_12	2021-08-31 00:00:00 +0200	2021	Year2021	12	520	15	South-West	925	950	937.5	colluviosol	Calcique	above_150	Slightly_redox	1	Colluvium	NW	Cluster1	Cluster1	Plot_12	>30%	high	3.1	5.3475	34.0	41.3	24.7	0.18	10.0	7.4	05-12-2023
364525_303-LP3-ITS-0303	Lavaux_2021-08-31_soil_Plot13	soil	Lavaux_Plot_13	2021-08-31 00:00:00 +0200	2021	Year2021	13	580	30	South-West	925	950	937.5	calcosol	Calcaire	100-180	Slightly_redox	1	Molasse	NW	Cluster3	Cluster1	Plot_13	>30%	high	1.7	2.9325	37.1	38.8	24.2	0.12	8.5	7.55	05-12-2023
364526_054-LP3-ITS-0630	Lavaux_2021-08-31_soil_Plot14	soil	Lavaux_Plot_14	2021-08-31 00:00:00 +0200	2021	Year2021	14	440	25	South	900	925	912.5	calcosol	Calcaire	100-180	Slightly_redox	1	Bottom_moraine	NW	Cluster3	Cluster3	Plot_14	>30%	high	3.0	5.175	23.4	43.6	33.0	0.18	9.9	7.6	05-12-2023
364526_053-LP3-ITS-0629	Lavaux_2021-08-31_soil_Plot15	soil	Lavaux_Plot_15	2021-08-31 00:00:00 +0200	2021	Year2021	15	520	30	South-West	900	925	912.5	calcosol	Calcique	100-180	no_redox	0	Gravel_moraine	NW	Cluster1	Cluster1	Plot_15	>30%	high	2.6	4.485	25.6	30.6	43.8	0.16	9.2	7.5	05-12-2023
364525_325-LP3-ITS-0325	Lavaux_2021-08-31_soil_Plot18	soil	Lavaux_Plot_18	2021-08-31 00:00:00 +0200	2021	Year2021	18	470	25	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	SE	Cluster2	Cluster3											7.31	05-12-2023
364525_306-LP3-ITS-0306	Lavaux_2021-08-31_soil_Plot19	soil	Lavaux_Plot_19	2021-08-31 00:00:00 +0200	2021	Year2021	19	510	50	South-West	900	925	912.5	calcosol	Calcaire	100-180	no_redox	0	Gravel_moraine	SE	Cluster2	Cluster2	Plot_19	>30%	high	3.7	6.3825	22.3	41.5	36.2	0.2	10.4	7.4	05-12-2023
