	364528_560-LP3-16S-1136	364528_561-LP3-16S-1137	364528_563-LP3-16S-1139	364528_564-LP3-16S-1140	364528_569-LP3-16S-1145	364528_571-LP3-16S-1147	364528_573-LP3-16S-1149
364528_560-LP3-16S-1136	0.0	0.6010081300813008	0.6451382113821138	0.6028943089430895	0.5496260162601626	0.4616585365853659	0.5595447154471545
364528_561-LP3-16S-1137	0.6010081300813008	0.0	0.7764552845528455	0.10091056910569106	0.7647154471544716	0.4685528455284553	0.616
364528_563-LP3-16S-1139	0.6451382113821138	0.7764552845528455	0.0	0.8079349593495935	0.554439024390244	0.5750569105691057	0.5551219512195122
364528_564-LP3-16S-1140	0.6028943089430895	0.10091056910569106	0.8079349593495935	0.0	0.7642276422764228	0.4646178861788618	0.6266666666666667
364528_569-LP3-16S-1145	0.5496260162601626	0.7647154471544716	0.554439024390244	0.7642276422764228	0.0	0.49934959349593494	0.467869918699187
364528_571-LP3-16S-1147	0.4616585365853659	0.4685528455284553	0.5750569105691057	0.4646178861788618	0.49934959349593494	0.0	0.41473170731707315
364528_573-LP3-16S-1149	0.5595447154471545	0.616	0.5551219512195122	0.6266666666666667	0.467869918699187	0.41473170731707315	0.0
