	364528_156-LP3-16S-0732	364528_188-LP3-16S-0764	364528_189-LP3-16S-0765	364528_369-LP3-16S-0945	364528_370-LP3-16S-0946	364528_371-LP3-16S-0947	364528_376-LP3-16S-0952
364528_156-LP3-16S-0732	0.0	0.8333333333333334	0.6533333333333333	0.7666666666666667	0.8266666666666667	0.8666666666666667	0.7666666666666667
364528_188-LP3-16S-0764	0.8333333333333334	0.0	0.6866666666666666	0.62	0.6666666666666666	0.58	0.5666666666666667
364528_189-LP3-16S-0765	0.6533333333333333	0.6866666666666666	0.0	0.6266666666666667	0.6666666666666666	0.6866666666666666	0.5666666666666667
364528_369-LP3-16S-0945	0.7666666666666667	0.62	0.6266666666666667	0.0	0.2	0.29333333333333333	0.28
364528_370-LP3-16S-0946	0.8266666666666667	0.6666666666666666	0.6666666666666666	0.2	0.0	0.3466666666666667	0.34
364528_371-LP3-16S-0947	0.8666666666666667	0.58	0.6866666666666666	0.29333333333333333	0.3466666666666667	0.0	0.32666666666666666
364528_376-LP3-16S-0952	0.7666666666666667	0.5666666666666667	0.5666666666666667	0.28	0.34	0.32666666666666666	0.0
